sample_id,row_index,audio_column,transcript,n_segments,top_segment_idx,random_segment_idx,top_segment_token,random_segment_token,top_abs_sv,top_sv,original_similarity,top_similarity,random_similarity,top_drop,random_drop,drop_difference,top_start_sec,top_end_sec,random_start_sec,random_end_sec,mask_duration_sec,runtime_sec
0,0,audio__male,When was Vasco Núñez de Balboa born?,7,6,1,born?,was,0.18569739535450935,0.18569739535450935,1.0,0.09584704041481018,0.13563409447669983,0.9041529595851898,0.8643659055233002,0.03978705406188965,2.2055833333333332,2.5337083333333332,0.233125,0.56125,0.328125,3.220783772994764
8,8,audio__male,How to manage partnerships?,4,1,3,to,partnerships?,0.406482707709074,0.406482707709074,1.0,0.16555818915367126,0.16555818915367126,0.8344418108463287,0.8344418108463287,0.0,0.36404166666666665,0.42470833333333335,1.2029166666666666,1.2635833333333333,0.06066666666666667,2.2697963410173543
16,16,audio__male,What is contrapositive and converse in logic?,7,2,1,contrapositive,is,0.18158376030623913,0.18158376030623913,1.000000238418579,0.06574823707342148,0.0,0.9342520013451576,1.000000238418579,-0.06574823707342148,0.5026666666666667,1.3874583333333332,0.0,0.8847916666666666,0.8847916666666666,1.9616619720472954
24,24,audio__male,Who is the dominant company in refrigeration equipment?,8,1,0,is,Who,0.16651646979153156,0.16651646979153156,1.0000001192092896,0.36076807975769043,0.0772995799779892,0.6392320394515991,0.9227005392313004,-0.28346849977970123,0.34208333333333335,0.4225833333333333,0.131,0.2115,0.0805,2.003463115019258
32,32,audio__male,Can the African forest elephant help in the medical world?,10,4,1,elephant,the,0.1555312369018793,0.1555312369018793,1.0000001192092896,0.1512371003627777,0.21527859568595886,0.8487630188465118,0.7847215235233307,0.06404149532318115,1.386625,1.72825,0.23108333333333334,0.5727083333333334,0.341625,1.9388003259664401
40,40,audio__male,What is the most valuable comic book?,7,4,5,valuable,comic,0.15968529507517815,0.15968529507517815,1.0,0.098471999168396,0.12561000883579254,0.901528000831604,0.8743899911642075,0.027138009667396545,0.8488333333333333,1.3136666666666668,1.2919166666666666,1.75675,0.4648333333333333,1.8972801390336826
48,48,audio__male,In what genres does the series Manifest fall?,8,6,4,Manifest,the,0.16815880127251148,0.16815880127251148,1.0000001192092896,0.12310487776994705,0.1865862011909485,0.8768952414393425,0.8134139180183411,0.06348132342100143,1.6563333333333334,2.1679166666666667,0.8685,1.3800833333333333,0.5115833333333333,1.8940384989837185
