frac_removed,sgpa_order_drop,random_drop
0.0,1.2914339703185007e-08,1.2914339703185007e-08
0.1,0.04492449204126995,0.01937136391798655
0.2,0.08903022905190788,0.03898063923820616
0.30000000000000004,0.11743979672590894,0.05851863697833486
0.4,0.1404979638258616,0.07798433099852667
0.5,0.16513006190458934,0.09812927092588138
0.6000000000000001,0.18535748143990835,0.12086531412979912
0.7000000000000001,0.20159740209579466,0.14617193543296012
0.8,0.2127087891101838,0.17200675466703996
0.9,0.21590690632661189,0.1957438348730405
1.0,0.21938484410444895,0.21938484410444895
