frac_removed,sgpa_order_drop,random_drop
0.0,1.966953277809935e-08,1.966953277809935e-08
0.1,0.061748643100261714,0.027058539986610418
0.2,0.11490210342407234,0.05286177011103857
0.30000000000000004,0.14715808683633802,0.0739825712127345
0.4,0.1723384548425674,0.09637600604920162
0.5,0.1953854900598526,0.11904364490934773
0.6000000000000001,0.21650060975551605,0.14317753778241937
0.7000000000000001,0.23110332244634624,0.1687521910741216
0.8,0.24449508678913115,0.19562962641034815
0.9,0.25207364475727084,0.22487842655181878
1.0,0.2564049351215363,0.2564049351215363
