frac_removed,sgpa_order_drop,random_drop
0.0,4.768371585361919e-09,4.768371585361919e-09
0.1,0.0592808554172516,0.024115765690803533
0.2,0.11476383256912234,0.04834795934926896
0.30000000000000004,0.15368445140123366,0.06979704150302073
0.4,0.18188306498527532,0.09302320719900584
0.5,0.20453432112932204,0.11781776763002073
0.6000000000000001,0.22380692589282986,0.14372935975790027
0.7000000000000001,0.23673347699642175,0.17034071025649708
0.8,0.24891577017307281,0.19761887749376747
0.9,0.253381534397602,0.22502758574485782
1.0,0.25294872105121613,0.25294872105121613
