condition,n_samples,mean_players,gini_mean,entropy_mean,top20pct_share_mean
librispeech_original,100,4.68,0.402,1.164,0.525
tts_male,100,5.79,0.369,1.46,0.535
tts_female,100,5.79,0.393,1.425,0.553
tts_original,100,5.79,0.421,1.378,0.575
stage3_off,100,4.68,0.41,1.151,0.525
mask_noise,60,4.72,0.384,1.224,0.503
mask_concat,60,4.72,0.383,1.224,0.498
