frac_removed,sgpa_order_drop,random_drop
0.0,7.15255737859799e-09,7.15255737859799e-09
0.1,0.07649181914329531,0.04531169444322585
0.2,0.13914174497127532,0.08269508790061592
0.30000000000000004,0.16976454299688343,0.10298610553713072
0.4,0.19154517364501952,0.12095024371317457
0.5,0.2061758491396904,0.1391599273355234
0.6000000000000001,0.216907235622406,0.15885857901573183
0.7000000000000001,0.22988536852598188,0.17864515093564992
0.8,0.2394808113574982,0.198438466282118
0.9,0.24114875024557111,0.21901706689596168
1.0,0.24027271270751954,0.24027271270751954
