frac_removed,sgpa_order_drop,random_drop
0.0,-5.960464466436833e-10,-5.960464466436833e-10
0.1,0.03651881903409957,0.013334627866744995
0.2,0.07199078845977781,0.0267871166524433
0.30000000000000004,0.09126221644878392,0.03993325606102036
0.4,0.10657960629463194,0.05326156005178179
0.5,0.12642001539468764,0.06802735577594667
0.6000000000000001,0.14565663838386536,0.0857367866010893
0.7000000000000001,0.15873354113101956,0.10406269923959459
0.8,0.1674003211259842,0.12428418275515236
0.9,0.17189524716138838,0.14993558943271637
1.0,0.17595300436019898,0.17595300436019898
