frac_removed,sgpa_order_drop,random_drop
0.0,1.4901161193847656e-08,1.4901161193847656e-08
0.1,0.04147448976834616,0.017734557886918377
0.2,0.08256709933280945,0.03562956644050657
0.30000000000000004,0.10918688615163165,0.052995578663216684
0.4,0.12880959371725717,0.07019188514682981
0.5,0.14928189863761265,0.0892005997872542
0.6000000000000001,0.16919050157070162,0.11093328410008593
0.7000000000000001,0.18850465138753256,0.135467038458775
0.8,0.20455941577752437,0.16170218187475968
0.9,0.21127497673034668,0.18972106665372848
1.0,0.21726397275924683,0.21726397275924683
