alpha,beta,mean_auto_click,std_auto_click,n_stimuli,rank,mean_spectral_flux,std_spectral_flux
0.8,0.19999999999999996,0.45572877841901166,0.15200743900548735,60,1,0.05764087124832582,0.015748919541714753
0.9,0.09999999999999998,0.45846293381042275,0.1731586089275334,60,2,0.054839956635286714,0.013811913148402844
0.5,0.5,0.4626979599248188,0.16683931505781446,60,3,0.05594498056283325,0.014611362409494623
0.7,0.30000000000000004,0.4693631219359686,0.20008947012050787,60,4,0.05594541550402543,0.016293325066601094
0.6,0.4,0.479352930269114,0.18467619727466028,60,5,0.05471152765283772,0.014769901665645917
