sample_id,row_index,audio_column,transcript,n_segments,segment_idx,segment_rank_abs_sv,segment_token,segment_sv,segment_abs_sv,segment_abs_sv_share,top_abs_sv,top1_top2_gap,top1_top2_ratio,top1_share,abs_sv_entropy_norm,abs_sv_gini,original_similarity,deleted_similarity,deletion_drop,cumulative_similarity,cumulative_drop,cumulative_n_deleted,tfidf_original_sim,tfidf_deleted_sim,tfidf_deletion_drop,tfidf_cumulative_sim,tfidf_cumulative_drop,seqmatch_deleted_sim,seqmatch_deletion_drop,seqmatch_cumulative_sim,seqmatch_cumulative_drop,segment_start_sec,segment_end_sec,mask_duration_sec,runtime_sec
1,1,audio__original,A FRENCHMAN YOUR NAME,4,0,1,A,0.47368425130844116,0.47368425130844116,0.4736842226009771,0.47368425130844116,0.1315789818763733,1.38461547438364,0.4736842226009771,0.7448078226610286,0.39473684759516425,0.99609375,0.322265625,0.673828125,0.306640625,0.689453125,1,1.0,0.17541160386140592,0.824588396138594,0.26311740579210885,0.7368825942078912,0.2247191011235955,0.7752808988764045,0.16470588235294117,0.8352941176470589,0.3214375,0.4415625,0.120125,1.3049325530000715
1,1,audio__original,A FRENCHMAN YOUR NAME,4,3,2,NAME,0.34210526943206787,0.34210526943206787,0.34210524869890074,0.47368425130844116,0.1315789818763733,1.38461547438364,0.4736842226009771,0.7448078226610286,0.39473684759516425,0.99609375,0.072265625,0.923828125,0.150390625,0.845703125,2,1.0,0.0,1.0,0.5381382351970501,0.46186176480294994,0.19718309859154928,0.8028169014084507,0.2916666666666667,0.7083333333333333,1.99725,2.228375,0.231125,1.3049325530000715
1,1,audio__original,A FRENCHMAN YOUR NAME,4,2,3,YOUR,0.18421053886413574,0.18421053886413574,0.18421052770012214,0.47368425130844116,0.1315789818763733,1.38461547438364,0.4736842226009771,0.7448078226610286,0.39473684759516425,0.99609375,0.361328125,0.634765625,0.1328125,0.86328125,3,1.0,0.40032038451271795,0.5996796154872821,0.0,1.0,0.32941176470588235,0.6705882352941177,0.14285714285714285,0.8571428571428572,1.1801875,1.906875,0.7266875,1.3049325530000715
1,1,audio__original,A FRENCHMAN YOUR NAME,4,1,4,FRENCHMAN,0.0,0.0,0.0,0.47368425130844116,0.1315789818763733,1.38461547438364,0.4736842226009771,0.7448078226610286,0.39473684759516425,0.99609375,0.45703125,0.5390625,0.59765625,0.3984375,4,1.0,0.26311740579210885,0.7368825942078912,0.9230769230769237,0.07692307692307632,0.16470588235294117,0.8352941176470589,0.967741935483871,0.032258064516129004,0.48175,1.003625,0.521875,1.3049325530000715
6,6,audio__original,AHEM A COMMON RUMOR,4,0,1,AHEM,0.25,0.25,0.24999999974999998,0.25,0.0,0.9999999959999999,0.24999999974999998,0.9999999997213476,0.0,0.99609375,0.439453125,0.556640625,0.294921875,0.701171875,1,1.0,0.5345224838248489,0.4654775161751511,0.20801257358446096,0.7919874264155391,0.5806451612903226,0.4193548387096774,0.22018348623853212,0.7798165137614679,0.1006875,0.5220625,0.421375,1.3534933389998969
6,6,audio__original,AHEM A COMMON RUMOR,4,1,2,A,0.25,0.25,0.24999999974999998,0.25,0.0,0.9999999959999999,0.24999999974999998,0.9999999997213476,0.0,0.99609375,0.30078125,0.6953125,0.1806640625,0.8154296875,2,1.0,0.23717082451262844,0.7628291754873715,0.0,1.0,0.27956989247311825,0.7204301075268817,0.24528301886792453,0.7547169811320755,0.63025,1.164625,0.534375,1.3534933389998969
6,6,audio__original,AHEM A COMMON RUMOR,4,2,3,COMMON,0.25,0.25,0.24999999974999998,0.25,0.0,0.9999999959999999,0.24999999974999998,0.9999999997213476,0.0,0.99609375,0.32421875,0.671875,0.5,0.49609375,3,1.0,0.05735393346764046,0.9426460665323595,0.06063390625908324,0.9393660937409167,0.20408163265306123,0.7959183673469388,0.19801980198019803,0.801980198019802,1.20475,1.5963125,0.3915625,1.3534933389998969
6,6,audio__original,AHEM A COMMON RUMOR,4,3,4,RUMOR,0.25,0.25,0.24999999974999998,0.25,0.0,0.9999999959999999,0.24999999974999998,0.9999999997213476,0.0,0.99609375,0.400390625,0.595703125,0.75390625,0.2421875,4,1.0,0.20801257358446096,0.7919874264155391,0.0,1.0,0.22018348623853212,0.7798165137614679,0.205607476635514,0.794392523364486,1.6565625,2.007625,0.3510625,1.3534933389998969
11,11,audio__original,ALTERED WORDS AND FIGURES,4,1,1,WORDS,0.5294117331504822,0.5294117331504822,0.5294117641764706,0.5294117331504822,0.20588234066963196,1.6363636313057848,0.5294117641764706,0.7095837984985701,0.4411764705882353,1.0,0.1181640625,0.8818359375,0.1943359375,0.8056640625,1,1.0,0.0,1.0,0.3333333333333333,0.6666666666666667,0.1702127659574468,0.8297872340425532,0.49122807017543857,0.5087719298245614,1.047375,1.510625,0.46325,0.9778488264998941
11,11,audio__original,ALTERED WORDS AND FIGURES,4,3,2,FIGURES,0.3235293924808502,0.3235293924808502,0.3235294114411765,0.5294117331504822,0.20588234066963196,1.6363636313057848,0.5294117641764706,0.7095837984985701,0.4411764705882353,1.0,0.0888671875,0.9111328125,0.44140625,0.55859375,2,1.0,0.0,1.0,0.0,1.0,0.1702127659574468,0.8297872340425532,0.4666666666666667,0.5333333333333333,1.96175,2.517125,0.555375,0.9778488264998941
11,11,audio__original,ALTERED WORDS AND FIGURES,4,2,3,AND,0.14705881476402283,0.14705881476402283,0.14705882338235293,0.5294117331504822,0.20588234066963196,1.6363636313057848,0.5294117641764706,0.7095837984985701,0.4411764705882353,1.0,0.68359375,0.31640625,0.30859375,0.69140625,3,1.0,0.5,0.5,0.0,1.0,0.4482758620689655,0.5517241379310345,0.2711864406779661,0.728813559322034,1.6711875,1.8933125,0.222125,0.9778488264998941
11,11,audio__original,ALTERED WORDS AND FIGURES,4,0,4,ALTERED,0.0,0.0,0.0,0.5294117331504822,0.20588234066963196,1.6363636313057848,0.5294117641764706,0.7095837984985701,0.4411764705882353,1.0,0.44140625,0.55859375,0.21875,0.78125,4,1.0,0.0,1.0,0.27735009811261463,0.7226499018873853,0.2702702702702703,0.7297297297297297,0.24242424242424243,0.7575757575757576,0.504,0.9869375,0.4829375,0.9778488264998941
26,26,audio__original,AND I BOUGHT THINGS,4,1,1,I,0.4285714328289032,0.4285714328289032,0.4285714196279081,0.4285714328289032,0.08571428060531616,1.2499999746233073,0.4285714196279081,0.7700285276370312,0.34999999105930346,1.0,0.42578125,0.57421875,0.40625,0.59375,1,1.0,0.8058229640253802,0.19417703597461977,0.7833494518006402,0.2166505481993598,0.7878787878787878,0.21212121212121215,0.7216494845360825,0.27835051546391754,0.5320625,0.705,0.1729375,1.3992677172498134
26,26,audio__original,AND I BOUGHT THINGS,4,2,2,BOUGHT,0.34285715222358704,0.34285715222358704,0.3428571416627908,0.4285714328289032,0.08571428060531616,1.2499999746233073,0.4285714196279081,0.7700285276370312,0.34999999105930346,1.0,0.10595703125,0.89404296875,0.42578125,0.57421875,2,1.0,0.2727272727272727,0.7272727272727273,0.7833494518006402,0.2166505481993598,0.3917525773195876,0.6082474226804124,0.7216494845360825,0.27835051546391754,0.84225,1.269875,0.427625,1.3992677172498134
26,26,audio__original,AND I BOUGHT THINGS,4,3,3,THINGS,0.22857144474983215,0.22857144474983215,0.22857143770930102,0.4285714328289032,0.08571428060531616,1.2499999746233073,0.4285714196279081,0.7700285276370312,0.34999999105930346,1.0,0.296875,0.703125,0.46875,0.53125,3,1.0,0.5454545454545455,0.4545454545454545,0.5454545454545455,0.4545454545454545,0.5625,0.4375,0.5625,0.4375,1.3505,1.794625,0.444125,1.3992677172498134
26,26,audio__original,AND I BOUGHT THINGS,4,0,4,AND,0.0,0.0,0.0,0.4285714328289032,0.08571428060531616,1.2499999746233073,0.4285714196279081,0.7700285276370312,0.34999999105930346,1.0,0.1640625,0.8359375,0.212890625,0.787109375,4,1.0,0.5454545454545455,0.4545454545454545,0.25087260300212727,0.7491273969978727,0.5625,0.4375,0.3010752688172043,0.6989247311827957,0.2625,0.4635625,0.2010625,1.3992677172498134
32,32,audio__original,AND NOW I SAID,4,0,1,AND,0.5769230723381042,0.5769230723381042,0.5769230631643576,0.5769230723381042,0.307692289352417,2.142857008390149,0.5769230631643576,0.6914728794945048,0.46153845322819875,0.99609375,0.453125,0.54296875,0.408203125,0.587890625,1,1.0,0.7378647873726218,0.26213521262737816,0.19245008972987526,0.8075499102701247,0.7551020408163265,0.24489795918367352,0.2222222222222222,0.7777777777777778,0.503,0.6835625,0.1805625,1.3972563082500074
