sample_id,n_segments,present_mask,coalition_size,util_emb,util_tfidf
1,6,63,6,1.0000001192092896,0.9999999999999998
1,6,0,0,0.763495683670044,0.0
1,6,1,1,0.8467296361923218,0.05773502691896258
1,6,2,1,0.7832810878753662,0.06666666666666668
1,6,4,1,0.8139040470123291,0.0
1,6,8,1,0.8081586360931396,0.06666666666666668
1,6,16,1,0.8581137657165527,0.32659863237109044
1,6,32,1,0.7911590933799744,0.20000000000000004
1,6,3,2,0.825851321220398,0.06666666666666668
1,6,5,2,0.825851321220398,0.06666666666666668
1,6,9,2,0.8506323099136353,0.05773502691896258
1,6,17,2,0.8750796914100647,0.25819888974716115
1,6,33,2,0.8725038766860962,0.23570226039551592
1,6,6,2,0.7832810878753662,0.06666666666666668
1,6,10,2,0.8084098100662231,0.0
1,6,18,2,0.8455157279968262,0.25819888974716115
1,6,34,2,0.8105729222297668,0.11547005383792516
1,6,12,2,0.8235824108123779,0.0
1,6,20,2,0.8151843547821045,0.23094010767585033
1,6,36,2,0.8159258961677551,0.16329931618554522
1,6,24,2,0.7983527183532715,0.0
1,6,40,2,0.8099461793899536,0.17320508075688773
1,6,48,2,0.8581137657165527,0.32659863237109044
1,6,7,3,0.8042333126068115,0.05773502691896258
1,6,11,3,0.8169947862625122,0.05773502691896258
1,6,19,3,0.8750796914100647,0.25819888974716115
1,6,35,3,0.8190677165985107,0.1549193338482967
1,6,13,3,0.8169947862625122,0.05773502691896258
1,6,21,3,0.8750796914100647,0.25819888974716115
1,6,37,3,0.8028578758239746,0.13333333333333333
1,6,25,3,0.8936828374862671,0.23570226039551592
1,6,41,3,0.8503185510635376,0.41311822359545786
1,6,49,3,0.8750796914100647,0.25819888974716115
1,6,14,3,0.8227924704551697,0.05773502691896258
1,6,22,3,0.8455157279968262,0.25819888974716115
1,6,38,3,0.8239907026290894,0.1549193338482967
1,6,26,3,0.8734709024429321,0.23570226039551592
1,6,42,3,0.8186734914779663,0.1549193338482967
1,6,50,3,0.8455157279968262,0.25819888974716115
1,6,28,3,0.8850615620613098,0.23094010767585033
1,6,44,3,0.840688169002533,0.13333333333333336
1,6,52,3,0.8557783365249634,0.2666666666666667
1,6,56,3,0.8574339151382446,0.23094010767585033
1,6,15,4,0.8002305626869202,0.13333333333333336
1,6,23,4,0.8750796914100647,0.25819888974716115
1,6,39,4,0.7926512956619263,0.174574312188794
1,6,27,4,0.8936828374862671,0.23570226039551592
1,6,43,4,0.8323025107383728,0.1549193338482967
1,6,51,4,0.8750796914100647,0.25819888974716115
1,6,29,4,0.830004096031189,0.31139957766460924
1,6,45,4,0.8503185510635376,0.41311822359545786
1,6,53,4,0.8750796914100647,0.25819888974716115
1,6,57,4,0.9401452541351318,0.6084869844593307
1,6,30,4,0.8734709024429321,0.23570226039551592
1,6,46,4,0.8330203294754028,0.1549193338482967
1,6,54,4,0.8455157279968262,0.25819888974716115
1,6,58,4,0.8734709024429321,0.23570226039551592
1,6,60,4,0.8574339151382446,0.23094010767585033
1,6,31,5,0.8441667556762695,0.2828427124746191
1,6,47,5,0.8800516724586487,0.5421374765483947
1,6,55,5,0.8609600067138672,0.23570226039551592
1,6,59,5,0.9903010725975037,0.9869275424396533
1,6,61,5,0.9401452541351318,0.6084869844593307
1,6,62,5,0.8669384717941284,0.20655911179772893
2,6,63,6,1.0,1.0000000000000002
2,6,0,0,0.7530450224876404,0.0
2,6,1,1,0.7858517169952393,0.3333333333333334
2,6,2,1,0.7993042469024658,0.5000000000000001
2,6,4,1,0.7173447608947754,0.0
2,6,8,1,0.8306710720062256,0.6666666666666669
2,6,16,1,0.9240843057632446,0.4082482904638631
2,6,32,1,0.7602699995040894,0.0
2,6,3,2,0.7627415060997009,0.5000000000000001
2,6,5,2,0.8818864822387695,0.8333333333333336
2,6,9,2,0.8085434436798096,0.5477225575051663
