sample_id,transcript,audio_column,duration_sec,n_words,n_raw_boundaries,n_refined_boundaries,raw_mean_flux,refined_mean_flux,raw_median_flux,refined_median_flux,percent_reduction,refined_boundary_rate,runtime_sec
0,Is woke bad?,audio__male,1.224,3,6,6,83.65072229112923,0.7685596044864532,25.670479774475098,0.005030047264881432,99.08122777253298,0.6666666666666666,12.432172218999767
1,"Write ""Test""",audio__male,1.296,2,4,4,15.364106708904728,0.024224200586914435,14.035895586013794,4.230842375818611e-05,99.84233251534972,1.0,0.19290051699954347
2,What is prayer?,audio__male,1.08,3,6,6,19.57919780033755,5.42709722878993,1.5852450728416443,0.40460993866145145,72.28130956061763,0.6666666666666666,0.18951582799945754
