row_index,mode,audio_abs_mass,text_abs_mass,total_abs_mass,audio_share
0,IAF_SM2T,0.5224013067781925,0.47759861312806606,0.9999999199062586,0.522401348619271
0,ITF_SM2T,0.46588958986103535,0.5341104357503355,1.0000000256113708,0.4658895779289646
0,SM2T,1.000000002910383,0.0,1.000000002910383,1.0
0,T2T,0.0,0.999999975960236,0.999999975960236,0.0
1,IAF_SM2T,0.4351301151327789,0.5648699216544628,1.0000000367872417,0.43513009912554274
1,ITF_SM2T,0.20566221699118614,0.7943378239870071,1.0000000409781933,0.2056622085635204
1,SM2T,1.0000000391155481,0.0,1.0000000391155481,1.0
1,T2T,0.0,0.9999998828861862,0.9999998828861862,0.0
2,IAF_SM2T,0.5713705492671579,0.428629407659173,0.9999999569263309,0.5713705738781849
2,ITF_SM2T,0.13527645356953144,0.8647234928794205,0.999999946448952,0.13527646081372768
2,SM2T,1.0000000349245965,0.0,1.0000000349245965,1.0
2,T2T,0.0,0.9999999888241291,0.9999999888241291,0.0
3,IAF_SM2T,0.650706603191793,0.34929339215159416,0.9999999953433871,0.6507066062218817
3,ITF_SM2T,0.29295230098068714,0.7070476887747645,0.9999999897554517,0.2929523039818512
3,SM2T,0.9999999790452421,0.0,0.9999999790452421,1.0
3,T2T,0.0,1.0000000391155481,1.0000000391155481,0.0
4,IAF_SM2T,0.4749434031546116,0.5250566080212593,1.000000011175871,0.4749433978467055
4,ITF_SM2T,0.3483054486569017,0.65169458091259,1.0000000295694917,0.34830543835768696
4,SM2T,0.9999999618157744,0.0,0.9999999618157744,1.0
4,T2T,0.0,1.000000020954758,1.000000020954758,0.0
5,IAF_SM2T,0.42226290330290794,0.5777371171861887,1.0000000204890966,0.4222628946511227
5,ITF_SM2T,0.4125899877399206,0.5874099787324667,0.9999999664723873,0.4125900015730784
5,SM2T,0.999999990221113,0.0,0.999999990221113,1.0
5,T2T,0.0,0.9999999818392098,0.9999999818392098,0.0
6,IAF_SM2T,0.7005370631814003,0.299462903290987,0.9999999664723873,0.7005370866687364
6,ITF_SM2T,0.2658269442617893,0.7341730035841465,0.9999999478459358,0.2658269581257456
6,SM2T,1.0000000596046448,0.0,1.0000000596046448,1.0
6,T2T,0.0,0.9999999552965164,0.9999999552965164,0.0
7,IAF_SM2T,0.7142699146643281,0.28573005460202694,0.999999969266355,0.7142699366164468
7,ITF_SM2T,0.20306898560374975,0.7969310116022825,0.9999999972060323,0.20306898617111793
7,SM2T,1.0000000051222742,0.0,1.0000000051222742,1.0
7,T2T,0.0,0.9999999888241291,0.9999999888241291,0.0
8,IAF_SM2T,0.6645001452416182,0.33549991250038147,1.0000000577419996,0.6645001068720532
8,ITF_SM2T,0.20223699510097504,0.7977630067616701,1.0000000018626451,0.20223699472427928
8,SM2T,1.0000000139698386,0.0,1.0000000139698386,1.0
8,T2T,0.0,0.9999999273568392,0.9999999273568392,0.0
9,IAF_SM2T,0.8774804919958115,0.12251950055360794,0.9999999925494194,0.8774804985335506
9,ITF_SM2T,0.014454487711191177,0.9855454708449543,0.9999999585561454,0.014454488310240888
9,SM2T,0.9999999674037099,0.0,0.9999999674037099,1.0
9,T2T,0.0,1.0000000181607902,1.0000000181607902,0.0
10,IAF_SM2T,0.3460343200713396,0.6539656221866608,0.9999999422580004,0.34603434005205436
10,ITF_SM2T,0.3359093777835369,0.664090609177947,0.999999986961484,0.3359093821632968
10,SM2T,0.9999999906867743,0.0,0.9999999906867743,1.0
10,T2T,0.0,1.0000000335276127,1.0000000335276127,0.0
11,IAF_SM2T,0.6822771681472659,0.3177228504791856,1.0000000186264515,0.6822771554388636
11,ITF_SM2T,0.17054368183016777,0.8294564262032509,1.0000001080334187,0.17054366340575278
11,SM2T,1.0000000027939677,0.0,1.0000000027939677,1.0
11,T2T,0.0,1.0000000481959432,1.0000000481959432,0.0
12,IAF_SM2T,0.6038326201960444,0.3961674254387617,1.0000000456348062,0.6038325926402611
