mode,pos,mean_abs_sv
IAF_SM2T,ADJ,0.05564996228293659
IAF_SM2T,ADP,0.04472997417500199
IAF_SM2T,AUX,0.056732831212313206
IAF_SM2T,INTJ,0.04340922273695469
IAF_SM2T,NOUN,0.07167820840993006
IAF_SM2T,NUM,0.06385545546395911
IAF_SM2T,PROPN,0.06772339246421377
IAF_SM2T,SCONJ,0.07412876728922128
IAF_SM2T,VERB,0.0693775720842113
IAF_SM2T,X,0.03261194755517257
ITF_SM2T,ADJ,0.0567911112166353
ITF_SM2T,ADP,0.04242631237761214
ITF_SM2T,AUX,0.04123295131903976
ITF_SM2T,INTJ,0.03769188054970333
ITF_SM2T,NOUN,0.06968605349938482
ITF_SM2T,NUM,0.04539865764761061
ITF_SM2T,PROPN,0.07252025657900325
ITF_SM2T,SCONJ,0.045885374354522515
ITF_SM2T,VERB,0.05814187489254791
ITF_SM2T,X,0.06534182692233187
T2T,ADJ,0.05374013336306136
T2T,ADP,0.0346180536083991
T2T,AUX,0.038201052988842715
T2T,INTJ,0.05358781722477741
T2T,NOUN,0.05551276946496453
T2T,NUM,0.036201766419734036
T2T,PROPN,0.06335303286742419
T2T,SCONJ,0.05411137375190402
T2T,VERB,0.05253315534479347
T2T,X,0.06107306883980831
