Mode_1,Mode_2,T_Statistic,P_Value,Degrees_of_Freedom,Sample_Size,Mean_Diff,Significant_Adj,metric,group,level_0,level_1
IAF_SM2T,ITF_SM2T,4.516519358085253,<0.01,93.0,94.0,0.13022606738681167,True,top_20_mass,core_structure,,
IAF_SM2T,T2T,5.7291153592742035,<0.01,93.0,94.0,0.14847948052387713,True,top_20_mass,core_structure,,
ITF_SM2T,T2T,1.1635503702099192,0.25,99.0,100.0,0.022949793282155753,False,top_20_mass,core_structure,,
IAF_SM2T,ITF_SM2T,-0.7079382465578263,0.48,93.0,94.0,-0.005799910598533585,False,max,core_structure,,
IAF_SM2T,T2T,-1.144172815079415,0.26,93.0,94.0,-0.007556002914033672,False,max,core_structure,,
ITF_SM2T,T2T,-0.021237733184480617,0.98,99.0,100.0,-0.0001288963109254837,False,max,core_structure,,
IAF_SM2T,ITF_SM2T,-2.892748807743199,<0.01,93.0,94.0,-0.13795085201351073,True,entropy,core_structure,,
IAF_SM2T,T2T,-4.074815941301541,<0.01,93.0,94.0,-0.15835806706231906,True,entropy,core_structure,,
ITF_SM2T,T2T,-0.758831103394444,0.45,99.0,100.0,-0.0181401493916872,False,entropy,core_structure,,
IAF_SM2T,ITF_SM2T,3.408559774458324,<0.01,84.0,85.0,0.011351640669268406,True,mean,function_words,,
IAF_SM2T,T2T,4.767047881878868,<0.01,88.0,89.0,0.015487909250255833,True,mean,function_words,,
ITF_SM2T,T2T,2.2261897202640157,0.03,93.0,94.0,0.004413006311037184,False,mean,function_words,,
IAF_SM2T,ITF_SM2T,-1.8659523382904168,0.07,84.0,85.0,-0.046896289011873996,False,gini,function_words,,
IAF_SM2T,T2T,-9.486682467469763,<0.01,88.0,89.0,-0.16715640645577046,True,gini,function_words,,
ITF_SM2T,T2T,-5.896464500096565,<0.01,93.0,94.0,-0.11850431766444883,True,gini,function_words,,
IAF_SM2T,ITF_SM2T,4.864783215582752,<0.01,84.0,85.0,0.18834450995462734,True,top_20_mass,function_words,,
IAF_SM2T,T2T,5.1130579489512025,<0.01,88.0,89.0,0.17503915036947085,True,top_20_mass,function_words,,
ITF_SM2T,T2T,0.4093803639889931,0.68,93.0,94.0,0.010459320598512213,False,top_20_mass,function_words,,
IAF_SM2T,ITF_SM2T,1.168289591325987,0.25,84.0,85.0,0.00623355676584384,False,max,function_words,,
IAF_SM2T,T2T,-0.5710027676042966,0.57,88.0,89.0,-0.0028034039574225296,False,max,function_words,,
ITF_SM2T,T2T,-2.238686185662985,0.03,93.0,94.0,-0.008104695730466158,False,max,function_words,,
IAF_SM2T,ITF_SM2T,-4.602434430371134,<0.01,84.0,85.0,-0.2820134384942413,True,entropy,function_words,,
IAF_SM2T,T2T,-5.846176773536613,<0.01,88.0,89.0,-0.3056510643721402,True,entropy,function_words,,
ITF_SM2T,T2T,-1.2935812044510295,0.2,93.0,94.0,-0.04254888975726815,False,entropy,function_words,,
,,-0.7661472494262107,0.58,1.0,2.0,-0.008823541924357414,False,mean,generic,IAF_SM2T,T2T
,,-0.7661472494262107,0.58,1.0,2.0,-0.008823541924357414,False,max,generic,IAF_SM2T,T2T
IAF_SM2T,ITF_SM2T,0.6582801594345019,0.51,77.0,78.0,0.003253704079555677,False,mean,modifiers,,
IAF_SM2T,T2T,2.5077262764361072,0.01,78.0,79.0,0.010899207959002608,True,mean,modifiers,,
ITF_SM2T,T2T,2.13158958112421,0.04,89.0,90.0,0.007094117800003565,False,mean,modifiers,,
IAF_SM2T,ITF_SM2T,-0.6712811196642892,0.5,77.0,78.0,-0.019384152687827814,False,gini,modifiers,,
IAF_SM2T,T2T,-5.185053453134454,<0.01,78.0,79.0,-0.11613769746008606,True,gini,modifiers,,
ITF_SM2T,T2T,-5.2652709374403015,<0.01,89.0,90.0,-0.09596557430151306,True,gini,modifiers,,
IAF_SM2T,ITF_SM2T,1.1569616555563322,0.25,77.0,78.0,0.048359231816925426,False,top_20_mass,modifiers,,
IAF_SM2T,T2T,5.392129170389076,<0.01,78.0,79.0,0.18457679771954472,True,top_20_mass,modifiers,,
