row_index,mode,top_sentence_id,sent_abs_mass,total_abs_mass,top_sentence_share
0,IAF_SM2T,0,0.5788999460637569,0.9999999199062586,0.5788999924300232
0,ITF_SM2T,0,1.0000000256113708,1.0000000256113708,1.0
0,SM2T,0,1.000000002910383,1.000000002910383,1.0
0,T2T,0,0.999999975960236,0.999999975960236,1.0
1,IAF_SM2T,0,1.0000000367872417,1.0000000367872417,1.0
1,ITF_SM2T,0,1.0000000409781933,1.0000000409781933,1.0
1,SM2T,0,1.0000000391155481,1.0000000391155481,1.0
1,T2T,0,0.9999998828861862,0.9999998828861862,1.0
2,IAF_SM2T,0,0.9999999569263309,0.9999999569263309,1.0
2,ITF_SM2T,0,0.999999946448952,0.999999946448952,1.0
2,SM2T,0,1.0000000349245965,1.0000000349245965,1.0
2,T2T,0,0.9999999888241291,0.9999999888241291,1.0
3,IAF_SM2T,0,0.9999999953433871,0.9999999953433871,1.0
3,ITF_SM2T,0,0.9999999897554517,0.9999999897554517,1.0
3,SM2T,0,0.9999999790452421,0.9999999790452421,1.0
3,T2T,0,1.0000000391155481,1.0000000391155481,1.0
4,IAF_SM2T,0,1.000000011175871,1.000000011175871,1.0
4,ITF_SM2T,0,1.0000000295694917,1.0000000295694917,1.0
4,SM2T,0,0.9999999618157744,0.9999999618157744,1.0
4,T2T,0,1.000000020954758,1.000000020954758,1.0
5,IAF_SM2T,0,1.0000000204890966,1.0000000204890966,1.0
5,ITF_SM2T,0,0.9999999664723873,0.9999999664723873,1.0
5,SM2T,0,0.999999990221113,0.999999990221113,1.0
5,T2T,0,0.9999999818392098,0.9999999818392098,1.0
6,IAF_SM2T,0,0.9999999664723873,0.9999999664723873,1.0
6,ITF_SM2T,0,0.9999999478459358,0.9999999478459358,1.0
6,SM2T,0,1.0000000596046448,1.0000000596046448,1.0
6,T2T,0,0.9999999552965164,0.9999999552965164,1.0
7,IAF_SM2T,0,0.999999969266355,0.999999969266355,1.0
7,ITF_SM2T,0,0.9999999972060323,0.9999999972060323,1.0
7,SM2T,0,1.0000000051222742,1.0000000051222742,1.0
7,T2T,0,0.9999999888241291,0.9999999888241291,1.0
8,IAF_SM2T,0,1.0000000577419996,1.0000000577419996,1.0
8,ITF_SM2T,0,1.0000000018626451,1.0000000018626451,1.0
8,SM2T,0,1.0000000139698386,1.0000000139698386,1.0
8,T2T,0,0.9999999273568392,0.9999999273568392,1.0
9,IAF_SM2T,0,0.8774804919958115,0.9999999925494194,0.8774804985335506
9,ITF_SM2T,0,0.9999999585561454,0.9999999585561454,1.0
9,SM2T,0,0.9999999674037099,0.9999999674037099,1.0
9,T2T,0,1.0000000181607902,1.0000000181607902,1.0
10,IAF_SM2T,0,0.9999999422580004,0.9999999422580004,1.0
10,ITF_SM2T,0,0.999999986961484,0.999999986961484,1.0
10,SM2T,0,0.9999999906867743,0.9999999906867743,1.0
10,T2T,0,1.0000000335276127,1.0000000335276127,1.0
11,IAF_SM2T,0,1.0000000186264515,1.0000000186264515,1.0
11,ITF_SM2T,0,1.0000001080334187,1.0000001080334187,1.0
11,SM2T,0,1.0000000027939677,1.0000000027939677,1.0
11,T2T,0,1.0000000481959432,1.0000000481959432,1.0
12,IAF_SM2T,0,1.0000000456348062,1.0000000456348062,1.0
12,ITF_SM2T,0,1.0000000456348062,1.0000000456348062,1.0
12,SM2T,0,1.0000000013969839,1.0000000013969839,1.0
12,T2T,0,1.000000011175871,1.000000011175871,1.0
13,IAF_SM2T,0,1.0,1.0,1.0
13,ITF_SM2T,0,1.0000000009313226,1.0000000009313226,1.0
13,SM2T,0,0.9999999911524355,0.9999999911524355,1.0
13,T2T,0,0.9999999850988388,0.9999999850988388,1.0
14,IAF_SM2T,0,0.6171497940085828,1.0000000265426934,0.6171497776277655
14,ITF_SM2T,0,0.9999999301508069,0.9999999301508069,1.0
14,SM2T,0,1.0000000230502337,1.0000000230502337,1.0
14,T2T,0,1.000000011496013,1.000000011496013,1.0
15,IAF_SM2T,0,0.9999999636784196,0.9999999636784196,1.0
15,ITF_SM2T,0,0.9999999776482582,0.9999999776482582,1.0
15,SM2T,0,0.9999999459832907,0.9999999459832907,1.0
15,T2T,0,0.9999999888241291,0.9999999888241291,1.0
16,IAF_SM2T,2,0.45859348960220814,1.0000000121071935,0.4585934840499281
16,ITF_SM2T,0,1.000000031082891,1.000000031082891,1.0
16,SM2T,0,1.0000000013969839,1.0000000013969839,1.0
16,T2T,0,0.9999999355059117,0.9999999355059117,1.0
17,IAF_SM2T,1,0.5223832195624709,0.9999999674037099,0.5223832365902265
17,ITF_SM2T,0,0.5433344058692455,1.0000000074505806,0.5433344018210888
17,SM2T,0,1.0000000400468707,1.0000000400468707,1.0
17,T2T,0,0.5549615183845162,1.0000000037252903,0.5549615163171235
18,IAF_SM2T,0,0.5463353414088488,1.0000000055879354,0.5463353383559622
18,ITF_SM2T,0,0.9999999646097422,0.9999999646097422,1.0
18,SM2T,0,1.0000000040163286,1.0000000040163286,1.0
18,T2T,0,0.5619049854576588,1.0000000223517418,0.5619049728981039
19,IAF_SM2T,0,1.0000000037252903,1.0000000037252903,1.0
19,ITF_SM2T,0,0.999999986961484,0.999999986961484,1.0
19,SM2T,0,1.0000000139698386,1.0000000139698386,1.0
19,T2T,0,0.9999999906867743,0.9999999906867743,1.0
20,IAF_SM2T,0,0.9999999469146132,0.9999999469146132,1.0
20,ITF_SM2T,0,1.0000000649597496,1.0000000649597496,1.0
20,SM2T,0,1.0000000279396772,1.0000000279396772,1.0
20,T2T,0,0.9999999469146132,0.9999999469146132,1.0
21,IAF_SM2T,0,0.6220408910885453,0.9999999636784196,0.6220409136820544
21,ITF_SM2T,0,1.0000000102445483,1.0000000102445483,1.0
21,SM2T,0,0.9999999850988388,0.9999999850988388,1.0
21,T2T,0,0.9999999781139195,0.9999999781139195,1.0
22,IAF_SM2T,0,0.9999999776482582,0.9999999776482582,1.0
22,ITF_SM2T,0,0.9999999841675162,0.9999999841675162,1.0
22,SM2T,0,1.0000000447034836,1.0000000447034836,1.0
22,T2T,0,1.000000027474016,1.000000027474016,1.0
23,IAF_SM2T,1,0.9163460927084088,1.0000000605359674,0.9163460372365151
