mode,group,mean,median,sum
IAF_SM2T,core_structure,0.0697682141161532,0.05365638807415962,15.767616390250623
IAF_SM2T,arguments,0.06846120648147842,0.05593892186880112,6.709198235184886
IAF_SM2T,generic,0.05966243975692325,0.06544864177703857,0.5369619578123093
IAF_SM2T,modifiers,0.05477470752149963,0.04793659225106239,10.735842674213927
IAF_SM2T,clausal_structure,0.04886002468821757,0.046176616102457047,1.6612408393993974
IAF_SM2T,function_words,0.04847070500935577,0.043544214218854904,10.130377346955356
IAF_SM2T,coordination,0.04366208132970231,0.03851024992763996,1.9211315785069019
IAF_SM2T,punctuation,0.030815419110962573,0.0362590067088604,0.5238621248863637
ITF_SM2T,core_structure,0.06518779839035084,0.05449186637997627,22.62016604145174
ITF_SM2T,arguments,0.05891118355070588,0.05459831282496452,9.955990020069294
ITF_SM2T,punctuation,0.055956112779676916,0.04569738730788231,1.958463947288692
ITF_SM2T,modifiers,0.05541951909461724,0.04981267265975475,13.965718811843544
ITF_SM2T,coordination,0.0519912748481147,0.043545741587877274,2.079650993924588
ITF_SM2T,clausal_structure,0.05085706138904666,0.04573194682598114,3.6108513586223125
ITF_SM2T,function_words,0.038671893512094345,0.03539241664111614,13.999225451378152
ITF_SM2T,generic,0.03562649556746086,0.0392263438552618,0.21375897340476513
T2T,core_structure,0.05505041312404487,0.045032501220703125,29.341870195115916
T2T,generic,0.05162534798728302,0.05025202967226505,0.41300278389826417
T2T,arguments,0.051498154043569624,0.04668538644909859,15.0889591347659
T2T,modifiers,0.04723843793625838,0.041337521746754646,19.934620809101034
T2T,clausal_structure,0.04383503073947632,0.03884941525757313,6.399914487963542
T2T,coordination,0.041886786744948855,0.0332475621253252,4.104905101004988
T2T,function_words,0.034223855656622774,0.027822839096188545,19.028463745082263
T2T,punctuation,0.03375492051143099,0.026772571727633476,1.2489320589229465
