mode,importance,mean,gini,top_20_mass,max,entropy
IAF_SM2T,1.0,0.0697682141161532,0.4226119710721793,0.468251357270308,0.36446958780288696,0.9438005820520251
IAF_SM2T,2.0,0.04886002468821757,0.283591746738886,0.349750570032685,0.10554860532283783,0.9521490624427733
IAF_SM2T,3.0,0.06846120648147842,0.37736089634248526,0.42991198397341085,0.28680193424224854,0.9480457319986958
IAF_SM2T,4.0,0.05537630549684094,0.39473843769252487,0.4296327852099382,0.2361493557691574,0.9496172310822301
IAF_SM2T,5.0,0.04704810591076615,0.3995710272967005,0.44078811023504383,0.2791474759578705,0.9464569760788977
IAF_SM2T,6.0,0.030815419110962573,0.3912830706450037,0.4562477559096599,0.08035101741552353,0.8978186092650412
ITF_SM2T,1.0,0.06518779839035084,0.3862864449147556,0.4324805946239827,0.39844268560409546,0.9556337906381142
ITF_SM2T,2.0,0.05085706138904666,0.35009215234680063,0.4215346609494625,0.18384365737438202,0.9491150468546028
ITF_SM2T,3.0,0.05891118355070588,0.35823929219698636,0.4040665564147365,0.2138303816318512,0.9566928080857442
ITF_SM2T,4.0,0.05464836887398855,0.3686291833377756,0.41315262825167975,0.36664843559265137,0.9556587976559461
ITF_SM2T,5.0,0.03896007343686572,0.32677193711641567,0.38625677950095494,0.15527328848838806,0.9676005467315538
ITF_SM2T,6.0,0.058561168014048,0.33011799749110243,0.4231960920885044,0.19900740683078766,0.9500583381437067
T2T,1.0,0.05715506879694414,0.427977933751551,0.46522146031546574,0.25611352920532227,0.9403586920529627
T2T,2.0,0.042277700442355126,0.3570373955871688,0.4177003439159814,0.14681071043014526,0.9433493322546903
T2T,3.0,0.05119335254118191,0.32910615588422953,0.380922669387555,0.149056077003479,0.9605732125035168
T2T,4.0,0.05055354015356371,0.39946658093590715,0.436821693872991,0.26440683007240295,0.9475759267085759
T2T,5.0,0.03259891045693722,0.4053516245152196,0.4339880144816487,0.15553565323352814,0.9474693993196788
T2T,6.0,0.032458221850295864,0.3925176784716334,0.5328997106037267,0.11606275290250778,0.8763772181126145
