mode,pos,mean,gini,top_20_mass,max,entropy
IAF_SM2T,ADJ,0.05564996228293659,0.351034171614552,0.4066372719657193,0.16638879477977753,0.9422746563617659
IAF_SM2T,ADP,0.04472997417500199,0.3560851990821273,0.4063393374957245,0.1383345127105713,0.9468828265812558
IAF_SM2T,ADV,0.044785136425936664,0.30943952357380944,0.40758973270427656,0.11947742104530334,0.9479824476298174
IAF_SM2T,AUX,0.056732831212313206,0.3693510204328338,0.43192353040857623,0.21622072160243988,0.9417643387416373
IAF_SM2T,CCONJ,0.034121009754016995,0.3559457469240968,0.4252323175332399,0.10445038229227066,0.923592819780428
IAF_SM2T,DET,0.049938519714040716,0.4370390097665894,0.48867181337306825,0.2791474759578705,0.9117855283446773
IAF_SM2T,INTJ,0.04340922273695469,0.1804374566683872,0.6804378723345643,0.059074558317661285,0.9039046520825319
IAF_SM2T,NOUN,0.07167820840993006,0.39575131339797937,0.442346671794703,0.28680193424224854,0.9490694060118852
IAF_SM2T,NUM,0.06385545546395911,0.27956733654846505,0.3843919367796308,0.1604352593421936,0.9532728538830051
IAF_SM2T,PART,0.03457612271886319,0.3821053562020631,0.4154035986333054,0.10857032984495163,0.9141863482943575
IAF_SM2T,PRON,0.0462272648784876,0.43669966814944555,0.4792525726318467,0.17627400159835815,0.9284410489113307
IAF_SM2T,PROPN,0.06772339246421377,0.423903866686077,0.4512857439588442,0.24393492937088013,0.9261529076297687
IAF_SM2T,PUNCT,0.02802884850340585,0.40298288796093246,0.44280458310494997,0.08035101741552353,0.8964368471684232
IAF_SM2T,SCONJ,0.07412876728922128,0.3272254535870077,0.39450929513704663,0.2178809642791748,0.9349336853012851
IAF_SM2T,SPACE,0.10832233354449272,0.06928050313259333,0.569280567090321,0.12333159893751144,0.9861060536932239
IAF_SM2T,VERB,0.0693775720842113,0.3778871287215095,0.4369846149307674,0.36446958780288696,0.9470731726644436
IAF_SM2T,X,0.03261194755517257,0.47907817516133655,0.5707065595694157,0.08531966060400009,0.828643528543284
ITF_SM2T,ADJ,0.0567911112166353,0.3727306285198632,0.4151053785246858,0.16515931487083435,0.9458425494316027
ITF_SM2T,ADP,0.04242631237761214,0.32504574555350185,0.38003288631900956,0.14526838064193726,0.9612826331996329
ITF_SM2T,ADV,0.03069485639306632,0.45851856833925786,0.5603643973119993,0.07310998439788818,0.8230560045491612
ITF_SM2T,AUX,0.04123295131903976,0.31318240440341566,0.39429122342025763,0.09782946854829788,0.9583010713133918
ITF_SM2T,CCONJ,0.043927746425781934,0.31278165943627045,0.4343031132613608,0.09475333243608475,0.9457972542313758
ITF_SM2T,DET,0.034941765836265404,0.33154224521064163,0.3862962708098288,0.1352684199810028,0.9601577443088102
ITF_SM2T,INTJ,0.03769188054970333,0.4035843289083956,0.5243956853568084,0.0908343568444252,0.8237325692848134
ITF_SM2T,NOUN,0.06968605349938482,0.3568368669403168,0.41646108089825246,0.36664843559265137,0.9616165131014807
ITF_SM2T,NUM,0.04539865764761061,0.2850963676132594,0.3621847196290823,0.09688431024551392,0.9610110946683759
ITF_SM2T,PART,0.03700828393576322,0.2711155086009114,0.3784993311664764,0.07691619545221329,0.964356124120633
ITF_SM2T,PRON,0.035805263080267956,0.4355447739722853,0.4799522802143069,0.17170408368110657,0.9269906551019633
ITF_SM2T,PROPN,0.07252025657900325,0.3157581698306477,0.38896106821293985,0.2520099878311157,0.9630882647868637
ITF_SM2T,PUNCT,0.05276071006322608,0.3035436191111773,0.46471851444755496,0.16303041577339172,0.937147160931226
ITF_SM2T,SCONJ,0.045885374354522515,0.34203172577447405,0.3839463087030252,0.09789755940437317,0.9223137820533801
ITF_SM2T,VERB,0.05814187489254791,0.3467369888147716,0.4137420439686403,0.39844268560409546,0.9565047049900164
ITF_SM2T,X,0.05722930440679193,0.35616294890424754,0.40480986605905706,0.19900740683078766,0.9338844257414783
T2T,ADJ,0.05150539710251778,0.35334217083220076,0.4109933966323267,0.12993817031383514,0.9469522603702175
T2T,ADP,0.032419463082674314,0.3984072329512421,0.4408441023852115,0.12651507556438446,0.93810601671389
T2T,ADV,0.04808905477532082,0.3317569849014763,0.4175162283071273,0.09722912311553955,0.9384998833315026
T2T,AUX,0.03908674576534675,0.34581645607732076,0.40681855337882333,0.11495839804410934,0.942846305342368
T2T,CCONJ,0.02624622137164292,0.3879688888268726,0.4453672885866349,0.07413887232542038,0.9154871715089148
T2T,DET,0.03018987182339158,0.4068586325579232,0.43080137580288674,0.09569486975669861,0.9349030062631835
T2T,INTJ,0.07778588682413101,0.0,1.0,0.07778588682413101,0.0
T2T,NOUN,0.0568290357823751,0.35526841214273325,0.4150524532662826,0.2262263298034668,0.9592862848657919
T2T,NUM,0.02641684362768299,0.38290645071281554,0.4679787301254976,0.0838322639465332,0.9160219185191085
T2T,PART,0.03350114649881355,0.42485568719467137,0.4815460190402719,0.10838249325752258,0.89627873782337
T2T,PRON,0.03794410854574543,0.4314319183441013,0.46342532051121116,0.1343410313129425,0.9237870058133456
T2T,PROPN,0.060572803584643856,0.37813522287887424,0.4244864680508551,0.25611352920532227,0.939266181531574
T2T,PUNCT,0.028390530787874013,0.3864649964312681,0.5264664558074286,0.11606275290250778,0.8906636636076156
T2T,SCONJ,0.0649599807543887,0.4129545387924969,0.4492616046986461,0.15553565323352814,0.8384884588637196
T2T,VERB,0.054807452086242846,0.43469967850104296,0.47697938872911705,0.26440683007240295,0.9320243972374591
