Mode_1,Mode_2,T_Statistic,P_Value,Degrees_of_Freedom,Sample_Size,Mean_Diff,Significant_Adj,metric,pos,index
ITF_SM2T,T2T,-1.8096958650955128,0.09,20.0,21.0,-0.010278580233543402,False,mean,SCONJ,
IAF_SM2T,T2T,-2.109441614515464,0.07,8.0,9.0,-0.06188761793168851,False,gini,SCONJ,
ITF_SM2T,T2T,-1.9880400492447208,0.06,20.0,21.0,-0.02916319140639769,False,gini,SCONJ,
IAF_SM2T,ITF_SM2T,0.9999999999999999,0.42,2.0,3.0,0.3333333333333333,False,top_20_mass,SCONJ,
IAF_SM2T,T2T,1.8684931380258538,0.1,8.0,9.0,0.2158900133848244,False,top_20_mass,SCONJ,
ITF_SM2T,T2T,-0.1550140430522567,0.88,20.0,21.0,-0.00535371594490287,False,top_20_mass,SCONJ,
IAF_SM2T,ITF_SM2T,2.5790275516784558,0.12,2.0,3.0,0.03091976170738538,False,max,SCONJ,
IAF_SM2T,T2T,0.6120468768360273,0.56,8.0,9.0,0.005065456239713563,False,max,SCONJ,
ITF_SM2T,T2T,-2.199973079837506,0.04,20.0,21.0,-0.014916379902777928,False,max,SCONJ,
IAF_SM2T,ITF_SM2T,-0.9999999999999999,0.42,2.0,3.0,-0.3333333333333333,False,entropy,SCONJ,
IAF_SM2T,T2T,-2.4690233121989635,0.04,8.0,9.0,-0.4107314105666506,False,entropy,SCONJ,
ITF_SM2T,T2T,-1.318878070797951,0.2,20.0,21.0,-0.07665961852435846,False,entropy,SCONJ,
IAF_SM2T,ITF_SM2T,0.6186940949150361,0.54,20.0,21.0,0.005183702530635019,False,mean,ADJ,
IAF_SM2T,T2T,0.14110600362084716,0.89,33.0,34.0,0.0008527299391525782,False,mean,ADJ,
ITF_SM2T,T2T,-0.4933675416140019,0.62,55.0,56.0,-0.0017347452899446664,False,mean,ADJ,
IAF_SM2T,ITF_SM2T,-1.738863285532663,0.1,20.0,21.0,-0.07922070001143314,False,gini,ADJ,
IAF_SM2T,T2T,-4.676641274741986,<0.01,33.0,34.0,-0.1426511746421635,True,gini,ADJ,
ITF_SM2T,T2T,-2.177545138862095,0.03,55.0,56.0,-0.04908871564777647,False,gini,ADJ,
IAF_SM2T,ITF_SM2T,0.3175978978833646,0.75,20.0,21.0,0.02601721418604925,False,top_20_mass,ADJ,
IAF_SM2T,T2T,2.650565711703568,0.01,33.0,34.0,0.13823874058691574,True,top_20_mass,ADJ,
ITF_SM2T,T2T,1.2927501028907424,0.2,55.0,56.0,0.05143162916200385,False,top_20_mass,ADJ,
IAF_SM2T,ITF_SM2T,-0.372621859602846,0.71,20.0,21.0,-0.002681296540512925,False,max,ADJ,
IAF_SM2T,T2T,-2.7977844627511796,0.01,33.0,34.0,-0.021340132379383946,True,max,ADJ,
ITF_SM2T,T2T,-2.1692258952759937,0.03,55.0,56.0,-0.009999764667424773,False,max,ADJ,
IAF_SM2T,ITF_SM2T,0.09405051628136661,0.93,20.0,21.0,0.01466699931439473,False,entropy,ADJ,
IAF_SM2T,T2T,-2.3308891702793266,0.03,33.0,34.0,-0.20696824731034988,False,entropy,ADJ,
ITF_SM2T,T2T,-1.8060131138828572,0.08,55.0,56.0,-0.11449371203285773,False,entropy,ADJ,
IAF_SM2T,ITF_SM2T,0.7473407281667924,0.53,2.0,3.0,0.025524089733759563,False,mean,NUM,
IAF_SM2T,T2T,3.7825127714823954,<0.01,14.0,15.0,0.0301110435070263,True,mean,NUM,
ITF_SM2T,T2T,1.7869362638183155,0.09,16.0,17.0,0.010371035850458161,False,mean,NUM,
IAF_SM2T,ITF_SM2T,-1.0,0.42,2.0,3.0,-0.006998378422313951,False,gini,NUM,
IAF_SM2T,T2T,-1.9399953722200216,0.07,14.0,15.0,-0.05984072820632599,False,gini,NUM,
ITF_SM2T,T2T,-2.7285263060363247,0.01,16.0,17.0,-0.10432292956394777,True,gini,NUM,
IAF_SM2T,ITF_SM2T,1.0,0.42,2.0,3.0,0.1596682786486049,False,top_20_mass,NUM,
IAF_SM2T,T2T,1.5502427804031473,0.14,14.0,15.0,0.11750764659354337,False,top_20_mass,NUM,
ITF_SM2T,T2T,0.06700660507203691,0.95,16.0,17.0,0.002582814276181266,False,top_20_mass,NUM,
IAF_SM2T,ITF_SM2T,0.7373900931525551,0.54,2.0,3.0,0.024503275752067566,False,max,NUM,
IAF_SM2T,T2T,3.25261403156806,0.01,14.0,15.0,0.022603282953302065,True,max,NUM,
ITF_SM2T,T2T,0.23303365966568734,0.82,16.0,17.0,0.0017444334705086315,False,max,NUM,
IAF_SM2T,ITF_SM2T,-1.0,0.42,2.0,3.0,-0.3329092516451676,False,entropy,NUM,
IAF_SM2T,T2T,-2.0265644414955424,0.06,14.0,15.0,-0.2216364907844879,False,entropy,NUM,
ITF_SM2T,T2T,-0.7296217366173632,0.48,16.0,17.0,-0.060574898638284635,False,entropy,NUM,
IAF_SM2T,ITF_SM2T,2.6904853101375417,0.01,28.0,29.0,0.02094800363481446,True,mean,AUX,
IAF_SM2T,T2T,2.5846061134616414,0.01,48.0,49.0,0.016782939414945935,True,mean,AUX,
ITF_SM2T,T2T,1.256639578863771,0.21,50.0,51.0,0.0038821291440209143,False,mean,AUX,
IAF_SM2T,ITF_SM2T,-0.8444117545116346,0.41,28.0,29.0,-0.013897202379869298,False,gini,AUX,
IAF_SM2T,T2T,-4.805619664504697,<0.01,48.0,49.0,-0.12294286489141738,True,gini,AUX,
ITF_SM2T,T2T,-4.946564365638913,<0.01,50.0,51.0,-0.11651695669142123,True,gini,AUX,
IAF_SM2T,ITF_SM2T,0.045708271146931025,0.96,28.0,29.0,0.003344137995489214,False,top_20_mass,AUX,
IAF_SM2T,T2T,1.914898206216874,0.06,48.0,49.0,0.09229186155589424,False,top_20_mass,AUX,
ITF_SM2T,T2T,1.022592125063951,0.31,50.0,51.0,0.04782618952940636,False,top_20_mass,AUX,
IAF_SM2T,ITF_SM2T,2.275231715067372,0.03,28.0,29.0,0.020836514238657525,False,max,AUX,
IAF_SM2T,T2T,1.5679488710882739,0.12,48.0,49.0,0.010622400264505163,False,max,AUX,
ITF_SM2T,T2T,-0.6321042582524744,0.53,50.0,51.0,-0.0022199926897883415,False,max,AUX,
IAF_SM2T,ITF_SM2T,-0.49848010287513367,0.62,28.0,29.0,-0.05722072311780554,False,entropy,AUX,
IAF_SM2T,T2T,-3.0750059599506616,<0.01,48.0,49.0,-0.23761173892947202,True,entropy,AUX,
ITF_SM2T,T2T,-2.0289217913102604,0.05,50.0,51.0,-0.1530548651612798,False,entropy,AUX,
ITF_SM2T,T2T,-2.4866556845496546,0.07,4.0,5.0,-0.0364612365141511,False,mean,INTJ,
ITF_SM2T,T2T,-1.5456105233249553,0.2,4.0,5.0,-0.1366295889567166,False,gini,INTJ,
ITF_SM2T,T2T,-1.0611112030147505,0.35,4.0,5.0,-0.23662980010104637,False,top_20_mass,INTJ,
ITF_SM2T,T2T,-2.42446439285263,0.07,4.0,5.0,-0.055375559628009795,False,max,INTJ,
ITF_SM2T,T2T,0.4419301780086953,0.68,4.0,5.0,0.15937317209009014,False,entropy,INTJ,
IAF_SM2T,ITF_SM2T,0.9523602632763356,0.35,48.0,49.0,0.004407809323434826,False,mean,ADP,
IAF_SM2T,T2T,2.9000067464741233,0.01,60.0,61.0,0.010499242564015692,True,mean,ADP,
ITF_SM2T,T2T,3.279923519163004,<0.01,77.0,78.0,0.009796838479354862,True,mean,ADP,
IAF_SM2T,ITF_SM2T,-0.8804641942544522,0.38,48.0,49.0,-0.022958652486115175,False,gini,ADP,
IAF_SM2T,T2T,-6.909020190004491,<0.01,60.0,61.0,-0.1695001172370913,True,gini,ADP,
ITF_SM2T,T2T,-6.374214092765111,<0.01,77.0,78.0,-0.13342484076335337,True,gini,ADP,
IAF_SM2T,ITF_SM2T,0.7064110990840156,0.48,48.0,49.0,0.04394859517682091,False,top_20_mass,ADP,
IAF_SM2T,T2T,3.1690254825218713,<0.01,60.0,61.0,0.1702652177702557,True,top_20_mass,ADP,
ITF_SM2T,T2T,4.461979415580046,<0.01,77.0,78.0,0.1353772732588605,True,top_20_mass,ADP,
IAF_SM2T,ITF_SM2T,0.22741183164747947,0.82,48.0,49.0,0.0011191213056825253,False,max,ADP,
IAF_SM2T,T2T,-0.9946832991622041,0.32,60.0,61.0,-0.004638119310629172,False,max,ADP,
ITF_SM2T,T2T,-0.025775989519113342,0.98,77.0,78.0,-0.00010078909018864998,False,max,ADP,
IAF_SM2T,ITF_SM2T,-1.041782500034737,0.3,48.0,49.0,-0.11382974468957888,False,entropy,ADP,
IAF_SM2T,T2T,-4.559057593743537,<0.01,60.0,61.0,-0.33189720938947226,True,entropy,ADP,
ITF_SM2T,T2T,-4.24279283935237,<0.01,77.0,78.0,-0.21655291054677078,True,entropy,ADP,
