row_index,mode,near_audio_mean,far_audio_mean,near_far_ratio
0,IAF_SM2T,0.017846891656517982,0.053007242269814014,0.33668779759071804
0,ITF_SM2T,0.03625552418331305,0.02658399145002477,1.3638104063532364
1,IAF_SM2T,0.07241688420375188,0.08690481726080179,0.8332896436062359
1,ITF_SM2T,0.04483621070782343,0.0471306565616812,0.9513173373299759
2,IAF_SM2T,0.038847614700595536,0.06241731271147728,0.622385248777778
2,ITF_SM2T,0.060110135624806084,0.04025841682382366,1.4931072894983217
3,IAF_SM2T,0.054940649618705116,0.046117860823869705,1.1913095845303736
3,ITF_SM2T,0.037854609390099846,0.045652604661881924,0.8291883819036009
4,IAF_SM2T,0.05510178084174792,0.044968908187001944,1.2253306353666267
4,ITF_SM2T,0.05865605051318804,0.05946580367162824,0.9863828770582492
5,IAF_SM2T,0.0571548609683911,0.05803893346871648,0.9847675956728826
5,ITF_SM2T,0.032712580636143684,0.061159029603004456,0.5348773655820365
6,IAF_SM2T,0.04623808215061823,0.053582885613044105,0.8629263172511785
6,ITF_SM2T,0.06174721196293831,0.06861642096191645,0.8998897216791504
7,IAF_SM2T,0.021567756310105324,0.04420535713434219,0.48789915312915544
7,ITF_SM2T,0.04124468378722668,0.03543141896003171,1.1640709008179584
8,IAF_SM2T,0.11183330416679382,0.0,111833304166.79382
8,ITF_SM2T,0.07720936586459477,0.07076686364598572,1.0910384025176938
9,IAF_SM2T,,,
9,ITF_SM2T,0.0423312292744716,0.14309196383692324,0.2958323314537716
10,IAF_SM2T,0.08006852741042773,0.0867772288620472,0.9226905313696152
10,ITF_SM2T,0.06464292965829373,0.11362532029549281,0.5689130687562868
11,IAF_SM2T,0.04449331387877464,0.03684858176857233,1.2074634013598575
11,ITF_SM2T,0.0753024232884248,0.07544364454224706,0.9981281225784194
12,IAF_SM2T,0.024198198070128758,0.02696440260236462,0.8974127269227655
12,ITF_SM2T,0.08537159984310468,0.04371821256354451,1.9527696773298797
13,IAF_SM2T,0.04430447270472845,0.1692456603050232,0.26177612249920545
13,ITF_SM2T,0.0699431300163269,0.04970330522897152,1.407212854209756
14,IAF_SM2T,0.04765969545890888,0.04797422923147678,0.9934436930285276
14,ITF_SM2T,0.06890362625320752,0.04155322594138292,1.6582016122827203
15,IAF_SM2T,0.043557378463447094,0.11448788940906525,0.3804540260798775
15,ITF_SM2T,0.1336748960117499,0.10402682051062584,1.2850041494521178
16,IAF_SM2T,0.03935566917061806,0.036520794280530774,1.077623582533114
16,ITF_SM2T,0.06490498408675194,0.03940606272468964,1.647081174756366
17,IAF_SM2T,0.02295498053232829,0.03239416271182043,0.7086147197514552
17,ITF_SM2T,0.04626248714824518,0.044949660491612226,1.0292065978084246
18,IAF_SM2T,0.06095201522111893,0.06770215462893248,0.9002965349373211
