index,Mode_1,Mode_2,T_Statistic,P_Value,Degrees_of_Freedom,Sample_Size,Mean_Diff,Significant_Adj,metric,pos
58,S2*,T2T,-1.1621489162910048,0.25,99,100,-0.020175688118673478,False,gini,PRON
59,S2*,T2S,-0.30659957620367384,0.76,99,100,-0.005832425044549949,False,gini,PRON
60,*2T,*2S,4.217504400451898,<0.01,99,100,0.03107223029273908,True,gini,PRON
61,*2T,T2S,1.9833556023178351,0.05,99,100,0.028940136752543148,False,gini,PRON
62,*2T,S2S,6.971397606832691,<0.01,99,100,0.06419812781519901,True,gini,PRON
63,*2T,SF2S,8.297509905503924,<0.01,99,100,0.08747963040907253,True,gini,PRON
64,*2T,SM2S,5.871994102847157,<0.01,99,100,0.06881635130414367,True,gini,PRON
65,*2S,T2T,-1.3568638292809025,0.18,99,100,-0.01647535661431947,False,gini,PRON
66,*2S,S2T,-0.8417623637885348,0.4,99,100,-0.009523098275881423,False,gini,PRON
67,*2S,SF2T,0.30730090606948374,0.76,99,100,0.003897747090532027,False,gini,PRON
68,*2S,SM2T,0.6228883639356668,0.53,99,100,0.0076967347870686995,False,gini,PRON
69,T2T,T2S,1.0988423657928765,0.27,99,100,0.014343263074123534,False,gini,PRON
70,T2T,S2T,0.373728052172085,0.71,99,100,0.006952258338438045,False,gini,PRON
71,T2T,SF2T,1.1007144250154914,0.27,99,100,0.02037310370485149,False,gini,PRON
72,T2T,SM2T,1.2158096354446035,0.23,99,100,0.024172091401388165,False,gini,PRON
73,T2T,S2S,2.949238692697693,<0.01,99,100,0.049601254136779405,False,gini,PRON
74,T2T,SF2S,4.258602047350502,<0.01,99,100,0.07288275673065292,True,gini,PRON
75,T2T,SM2S,2.949930841406355,<0.01,99,100,0.05421947762572406,False,gini,PRON
76,T2S,S2T,-0.3736508259470748,0.71,99,100,-0.007391004735685489,False,gini,PRON
77,T2S,SF2T,0.2967899572566814,0.77,99,100,0.006029840630727964,False,gini,PRON
78,T2S,SM2T,0.48570133825636636,0.63,99,100,0.00982882832726464,False,gini,PRON
79,T2S,S2S,1.8713723910794555,0.06,99,100,0.035257991062655876,False,gini,PRON
80,T2S,SF2S,2.966357868583622,<0.01,99,100,0.05853949365652939,False,gini,PRON
81,T2S,SM2S,2.052784073780099,0.04,99,100,0.03987621455160052,False,gini,PRON
82,S2T,S2S,4.971795493422201,<0.01,99,100,0.04264899579834136,True,gini,PRON
83,S2T,SF2S,6.183518240613738,<0.01,99,100,0.06593049839221489,True,gini,PRON
84,S2T,SM2S,4.24336493370218,<0.01,99,100,0.047267219287286014,True,gini,PRON
85,SF2T,SM2T,0.2856630598637962,0.78,99,100,0.0037989876965366727,False,gini,PRON
86,SF2T,S2S,2.7440311057586415,0.01,99,100,0.02922815043192791,False,gini,PRON
87,SF2T,SF2S,4.266643227790828,<0.01,99,100,0.05250965302580142,True,gini,PRON
88,SF2T,SM2S,2.6572566377103097,0.01,99,100,0.033846373920872565,False,gini,PRON
89,SM2T,S2S,2.47435863928381,0.02,99,100,0.02542916273539124,False,gini,PRON
90,SM2T,SF2S,4.065780640867354,<0.01,99,100,0.048710665329264755,True,gini,PRON
91,SM2T,SM2S,2.379858535994361,0.02,99,100,0.03004738622433589,False,gini,PRON
92,SF2S,SM2S,-1.4126038219616812,0.16,99,100,-0.018663279104928866,False,gini,PRON
93,ALL,T2*,-3.1059471361855358,<0.01,99,100,-0.03196198101020304,False,top_20_mass,PRON
94,ALL,S2*,-0.6094576935405456,0.54,99,100,-0.002704391926012357,False,top_20_mass,PRON
95,ALL,*2T,-7.512833939181325,<0.01,99,100,-0.030467822634884522,True,top_20_mass,PRON
96,ALL,*2S,0.4769979847952182,0.63,99,100,0.0020460824770819116,False,top_20_mass,PRON
97,ALL,T2T,-5.041658712284701,<0.01,99,100,-0.06230514292552977,True,top_20_mass,PRON
98,ALL,T2S,-4.0745357943101155,<0.01,99,100,-0.054771412649610836,True,top_20_mass,PRON
99,ALL,S2T,-8.430550272202376,<0.01,99,100,-0.052420681884088445,True,top_20_mass,PRON
100,ALL,SF2T,-8.184737095827796,<0.01,99,100,-0.08749424870882364,True,top_20_mass,PRON
101,ALL,SM2T,-7.649876391575027,<0.01,99,100,-0.08573144680787576,True,top_20_mass,PRON
102,ALL,S2S,-0.3216623470473618,0.75,99,100,-0.0020389399754773057,False,top_20_mass,PRON
103,ALL,SF2S,-2.949605995025749,<0.01,99,100,-0.029768664476078212,False,top_20_mass,PRON
104,ALL,SM2S,-4.411213067137925,<0.01,99,100,-0.049395573420347734,True,top_20_mass,PRON
105,T2*,S2*,2.136643177121062,0.04,99,100,0.02925758908419068,False,top_20_mass,PRON
106,T2*,S2T,-1.4427883102876669,0.15,99,100,-0.02045870087388541,False,top_20_mass,PRON
107,T2*,SF2T,-3.2838549435437865,<0.01,99,100,-0.055532267698620574,False,top_20_mass,PRON
108,T2*,SM2T,-3.001438959226645,<0.01,99,100,-0.05376946579767271,False,top_20_mass,PRON
