mode,root_match_percentage
SF2S,0.2
SF2T,0.27
SM2S,0.24
SM2T,0.25
T2S,0.14
T2T,0.14
S2S,0.22
S2T,0.26
S2*,0.24
T2*,0.14
*2T,0.22
*2S,0.19333333333333333
TOTAL_AVERAGE,0.20666666666666667
