mode,yes_percentage
SF2S,0.26
SF2T,0.37
SM2S,0.35
SM2T,0.34
T2S,0.22
T2T,0.29
S2S,0.36
S2T,0.39
S2*,0.38
T2*,0.21
*2T,0.19
*2S,0.14
TOTAL_AVERAGE,0.305
