,Mode_1,Mode_2,T_Statistic,P_Value,Degrees_of_Freedom,Sample_Size,Mean_Diff,Significant_Adj
0,ALL,T2*,-3.1059471361855358,<0.01,99,100,-0.03196198101020304,False
1,ALL,S2*,-0.6094576935405456,0.54,99,100,-0.002704391926012357,False
2,ALL,*2T,-7.512833939181325,<0.01,99,100,-0.030467822634884522,True
3,ALL,*2S,0.4769979847952182,0.63,99,100,0.0020460824770819116,False
4,ALL,T2T,-5.041658712284701,<0.01,99,100,-0.06230514292552977,True
5,ALL,T2S,-4.0745357943101155,<0.01,99,100,-0.054771412649610836,True
6,ALL,S2T,-8.430550272202376,<0.01,99,100,-0.052420681884088445,True
7,ALL,SF2T,-8.184737095827796,<0.01,99,100,-0.08749424870882364,True
8,ALL,SM2T,-7.649876391575027,<0.01,99,100,-0.08573144680787576,True
9,ALL,S2S,-0.3216623470473618,0.75,99,100,-0.0020389399754773057,False
10,ALL,SF2S,-2.949605995025749,<0.01,99,100,-0.029768664476078212,False
11,ALL,SM2S,-4.411213067137925,<0.01,99,100,-0.049395573420347734,True
12,T2*,S2*,2.136643177121062,0.04,99,100,0.02925758908419068,False
13,T2*,S2T,-1.4427883102876669,0.15,99,100,-0.02045870087388541,False
14,T2*,SF2T,-3.2838549435437865,<0.01,99,100,-0.055532267698620574,False
15,T2*,SM2T,-3.001438959226645,<0.01,99,100,-0.05376946579767271,False
16,T2*,S2S,2.3072503297696327,0.02,99,100,0.02992304103472573,False
17,T2*,SF2S,0.13964082624371119,0.89,99,100,0.0021933165341248197,False
18,T2*,SM2S,-1.0373505283759252,0.3,99,100,-0.0174335924101447,False
19,S2*,T2T,-3.9116602293389624,<0.01,99,100,-0.0596007509995174,True
20,S2*,T2S,-3.1217540357611018,<0.01,99,100,-0.05206702072359848,False
21,*2T,*2S,4.649460220522909,<0.01,99,100,0.03251390511196644,True
22,*2T,T2S,-1.588958772101394,0.12,99,100,-0.02430359001472632,False
23,*2T,S2S,3.2623539821633813,<0.01,99,100,0.028428882659407222,False
24,*2T,SF2S,0.06192354957431779,0.95,99,100,0.0006991581588063083,False
25,*2T,SM2S,-1.4530474307776486,0.15,99,100,-0.018927750785463205,False
26,*2S,T2T,-4.6627562086422385,<0.01,99,100,-0.06435122540261168,True
27,*2S,S2T,-5.926040764781692,<0.01,99,100,-0.05446676436117036,True
28,*2S,SF2T,-6.883291288839797,<0.01,99,100,-0.08954033118590549,True
29,*2S,SM2T,-6.809520924916487,<0.01,99,100,-0.08777752928495763,True
30,T2T,T2S,0.5457030338803486,0.59,99,100,0.007533730275918915,False
31,T2T,S2T,0.6478475668468271,0.52,99,100,0.009884461041441321,False
32,T2T,SF2T,-1.510044804905326,0.13,99,100,-0.02518910578329385,False
33,T2T,SM2T,-1.2798420486634987,0.2,99,100,-0.02342630388234599,False
34,T2T,S2S,4.1392079882122825,<0.01,99,100,0.06026620295005247,True
35,T2T,SF2S,2.135303117587396,0.04,99,100,0.03253647844945154,False
36,T2T,SM2S,0.7256530692139644,0.47,99,100,0.012909569505182027,False
37,T2S,S2T,0.1395107265645276,0.89,99,100,0.0023507307655224073,False
38,T2S,SF2T,-1.723633569108741,0.09,99,100,-0.03272283605921276,False
39,T2S,SM2T,-1.6312622670718995,0.11,99,100,-0.030960034158264906,False
40,T2S,S2S,3.2292765385688256,<0.01,99,100,0.05273247267413354,False
41,T2S,SF2S,1.374986062770921,0.17,99,100,0.025002748173532624,False
42,T2S,SM2S,0.2866296404601398,0.77,99,100,0.005375839229263107,False
43,S2T,S2S,5.883476403293182,<0.01,99,100,0.05038174190861114,True
44,S2T,SF2S,2.0147016810746483,0.05,99,100,0.022652017408010226,False
45,S2T,SM2S,0.24151051669683846,0.81,99,100,0.0030251084637407054,False
46,SF2T,SM2T,0.12495825557290581,0.9,99,100,0.0017628019009478652,False
47,SF2T,S2S,6.955098991781664,<0.01,99,100,0.08545530873334631,True
48,SF2T,SF2S,4.511670591558454,<0.01,99,100,0.05772558423274539,True
49,SF2T,SM2S,2.8731179485624923,<0.01,99,100,0.038098675288475874,False
50,SM2T,S2S,6.62706896906333,<0.01,99,100,0.08369250683239844,True
51,SM2T,SF2S,4.594556428582138,<0.01,99,100,0.05596278233179753,True
52,SM2T,SM2S,2.6574609827837725,0.01,99,100,0.036335873387528014,False
53,SF2S,SM2S,-1.497448324319813,0.14,99,100,-0.01962690894426952,False
