,Mode_1,Mode_2,T_Statistic,P_Value,Degrees_of_Freedom,Sample_Size,Mean_Diff,Kurtosis_Diff,Shapiro_P,Cohens_dz,Significant_Adj,Shapiro_Significant,metric
44,S2T,SF2S,0.1910706331868923,0.85,404,405,0.0012210636455738148,3.9473420923167417,6.388615472639992e-13,0.01,False,True,mean
45,S2T,SM2S,-0.26751782405485075,0.79,404,405,-0.0017229753298734786,6.249481821600282,2.3447629763048684e-17,-0.01,False,True,mean
46,SF2T,SM2T,-0.21431664516073035,0.83,404,405,-0.0012791131896162284,6.345730537690919,5.854796883084174e-17,-0.01,False,True,mean
47,SF2T,S2S,-0.14156552190221822,0.89,404,405,-0.0008905124369579456,4.893347894966817,4.389541567175993e-15,-0.01,False,True,mean
48,SF2T,SF2S,0.084444653549553,0.93,404,405,0.0005815070507657013,4.122819578224358,1.2657197844429264e-13,0.0,False,True,mean
49,SF2T,SM2S,-0.3307104086029226,0.74,404,405,-0.002362531924681592,4.715326734180377,2.6415184969024693e-15,-0.02,False,True,mean
50,SM2T,S2S,0.06050684216293201,0.95,404,405,0.00038860075265828386,6.952792976048604,6.1450325431954004e-18,0.0,False,True,mean
51,SM2T,SF2S,0.2578465876676465,0.8,404,405,0.0018606202403819304,4.1869002485572295,1.9874087508339832e-14,0.01,False,True,mean
52,SM2T,SM2S,-0.15361977652288802,0.88,404,405,-0.001083418735065363,6.668534482838739,1.9846155836033855e-18,-0.01,False,True,mean
53,SF2S,SM2S,-0.473680152353541,0.64,404,405,-0.002944038975447293,6.15882465535055,1.764935681965919e-16,-0.02,False,True,mean
54,ALL,T2*,9.807068394342622,<0.01,342,343,0.0913754252253249,0.22700382784291895,1.4461145205594579e-05,0.53,True,True,gini
55,ALL,S2*,7.573730512712909,<0.01,404,405,0.05116131647296727,9.61142971797466,7.648792464754081e-21,0.38,True,True,gini
56,ALL,*2T,7.277364973536211,<0.01,422,423,0.04318177025879904,4.197323665629659,2.0837127720715164e-15,0.35,True,True,gini
57,ALL,*2S,9.77702147464552,<0.01,422,423,0.05821481165610001,5.888978386257033,1.423163913076456e-15,0.48,True,True,gini
58,ALL,T2T,17.34595048656465,<0.01,342,343,0.20580524711269582,-0.31211430513707494,0.0008656150185598668,0.94,True,True,gini
59,ALL,T2S,18.535965739939343,<0.01,342,343,0.2168887077999301,-0.17586610003440928,0.104573248707058,1.0,True,False,gini
60,ALL,S2T,13.448067132444761,<0.01,404,405,0.1292862547437945,1.5179974034622141,4.92181468706719e-12,0.67,True,True,gini
61,ALL,SF2T,25.17401906605074,<0.01,404,405,0.2554304878619694,-0.19180733757029644,0.15882534550655888,1.25,True,False,gini
62,ALL,SM2T,24.06989801170368,<0.01,404,405,0.25066262001482076,-0.3149600760501423,0.06618079047374961,1.2,True,False,gini
63,ALL,S2S,15.054896365850178,<0.01,404,405,0.1284190007180691,2.212957915242706,7.31033022089727e-12,0.75,True,True,gini
64,ALL,SF2S,26.145937953292847,<0.01,404,405,0.2625365829907758,-0.19447342748602026,0.21984067865753704,1.3,True,False,gini
65,ALL,SM2S,25.739322789596116,<0.01,404,405,0.25835852319212155,-0.03686003365637802,0.39438463719354083,1.28,True,False,gini
66,T2*,S2*,-2.440114905411762,0.02,324,325,-0.03268134670995291,0.19982412762834523,0.043784110730559586,-0.14,False,True,gini
67,T2*,S2T,3.8359117198966666,<0.01,324,325,0.05069262974505338,-0.21910055557443675,0.018395385712597436,0.21,True,True,gini
