Mode_1,Mode_2,T_Statistic,P_Value,Degrees_of_Freedom,Sample_Size,Mean_Diff,Significant_Adj
ALL,T2*,3.7346595009898396,<0.01,342,343,0.01666730727748827,True
ALL,S2*,-3.365068111837711,<0.01,404,405,-0.007287910748179758,False
ALL,*2T,0.26314603771971773,0.79,422,423,0.0005491848727962413,False
ALL,*2S,-0.26314603771971856,0.79,422,423,-0.000549184872796243,False
ALL,T2T,3.576252528863765,<0.01,342,343,0.018239450063668793,True
ALL,T2S,2.6084229743921092,0.01,342,343,0.01509516449130775,False
ALL,S2T,-1.8874070329026829,0.06,404,405,-0.00716243282710484,False
ALL,SF2T,-1.3743905629092383,0.17,404,405,-0.006522876232296726,False
ALL,SM2T,-1.589673251802859,0.11,404,405,-0.007801989421912956,False
ALL,S2S,-2.2629774216014575,0.02,404,405,-0.0074133886692546724,False
ALL,SF2S,-1.3196246357048096,0.19,404,405,-0.005941369181531024,False
ALL,SM2S,-1.9621038793174423,0.05,404,405,-0.008885408156978318,False
T2*,S2*,-3.6513626601745908,<0.01,324,325,-0.02667227768981932,True
T2*,S2T,-3.7369939571583277,<0.01,324,325,-0.031460330036167744,True
T2*,SF2T,-3.677586369645916,<0.01,324,325,-0.03280101736214425,True
T2*,SM2T,-3.2499588298512414,<0.01,324,325,-0.030119642710191245,False
T2*,S2S,-2.8857090776449117,<0.01,324,325,-0.021884225343470887,False
T2*,SF2S,-2.3178155223419106,0.02,324,325,-0.019763717005122285,False
T2*,SM2S,-2.874198951009236,<0.01,324,325,-0.024004733681819494,False
S2*,T2T,3.9271397704899624,<0.01,324,325,0.029754908204004473,True
S2*,T2S,2.815391839690705,0.01,324,325,0.023589647175634155,False
*2T,*2S,-0.263146037719718,0.79,422,423,-0.0010983697455924839,False
*2T,T2S,2.7125440660609876,0.01,342,343,0.019102833206776464,False
*2T,S2S,-1.8645784345194003,0.06,404,405,-0.009129228527632618,False
*2T,SF2S,-1.3271858808630326,0.19,404,405,-0.007657209039908971,False
*2T,SM2S,-1.8188558488540674,0.07,404,405,-0.010601248015356264,False
*2S,T2T,2.3920487360687726,0.02,342,343,0.014231781348200072,False
*2S,S2T,-0.9816917682868661,0.33,404,405,-0.005446592968726892,False
*2S,SF2T,-0.7677135856612128,0.44,404,405,-0.0048070363739187785,False
*2S,SM2T,-0.960283786718713,0.34,404,405,-0.006086149563535008,False
T2T,T2S,-0.5013400683313378,0.62,342,343,-0.003144285572361042,False
T2T,S2T,-3.9865361707378764,<0.01,324,325,-0.03454296055035291,True
T2T,SF2T,-3.97952648352647,<0.01,324,325,-0.0358836478763294,True
T2T,SM2T,-3.45128889866486,<0.01,324,325,-0.033202273224376404,True
T2T,S2S,-3.1862570990360473,<0.01,324,325,-0.02496685585765605,False
T2T,SF2S,-2.626427757337129,0.01,324,325,-0.02284634751930744,False
T2T,SM2S,-3.1367959259425833,<0.01,324,325,-0.027087364196004656,False
T2S,S2T,-3.0326888044279934,<0.01,324,325,-0.02837769952198259,False
T2S,SF2T,-2.9915190562465215,<0.01,324,325,-0.02971838684795909,False
T2S,SM2T,-2.702025065941023,0.01,324,325,-0.027037012196006086,False
T2S,S2S,-2.178047783242022,0.03,324,325,-0.018801594829285728,False
T2S,SF2S,-1.7521063443274734,0.08,324,325,-0.016681086490937122,False
T2S,SM2S,-2.258341059690305,0.02,324,325,-0.020922103167634338,False
S2T,S2S,-0.04471137518627234,0.96,404,405,-0.0002509558421498307,False
S2T,SF2S,0.1910706331868923,0.85,404,405,0.0012210636455738148,False
S2T,SM2S,-0.26751782405485075,0.79,404,405,-0.0017229753298734786,False
SF2T,SM2T,-0.21431664516073035,0.83,404,405,-0.0012791131896162284,False
SF2T,S2S,-0.14156552190221822,0.89,404,405,-0.0008905124369579456,False
SF2T,SF2S,0.084444653549553,0.93,404,405,0.0005815070507657013,False
SF2T,SM2S,-0.3307104086029226,0.74,404,405,-0.002362531924681592,False
SM2T,S2S,0.06050684216293201,0.95,404,405,0.00038860075265828386,False
SM2T,SF2S,0.2578465876676465,0.8,404,405,0.0018606202403819304,False
SM2T,SM2S,-0.15361977652288802,0.88,404,405,-0.001083418735065363,False
SF2S,SM2S,-0.473680152353541,0.64,404,405,-0.002944038975447293,False
