mode,corr_importance_sv
ALL,-0.10110908144767336
T2*,-0.2398043261451589
S2*,-0.05009297522126298
*2T,-0.1425753181681629
*2S,-0.05673909465930558
T2T,-0.3026071701763897
T2S,-0.177675023933355
S2T,-0.08558120729811454
SF2T,-0.14746991725446254
SM2T,-0.023837029694636414
S2S,-0.010470968970689104
SF2S,0.014296574937073694
SM2S,-0.034137211072524494
