,Mode_1,Mode_2,T_Statistic,P_Value,Degrees_of_Freedom,Sample_Size,Mean_Diff,Kurtosis_Diff,Shapiro_P,Cohens_dz,Significant_Adj,Shapiro_Significant,metric
44,ALL,T2S,1.4707343960912447,0.14,99,100,0.018518111958176642,0.44175264421702876,0.0617368295093264,0.15,False,False,gini
45,ALL,S2T,1.2555670939634027,0.21,99,100,0.011127107222491151,1.2679965961950153,5.127628550570146e-08,0.13,False,True,gini
46,ALL,SF2T,2.35065323926532,0.02,99,100,0.0245479525889046,-0.12434673628409909,0.13534228510747456,0.24,False,False,gini
47,ALL,SM2T,2.6592839848527454,0.01,99,100,0.028346940285441283,-0.5888802836486624,0.0851601454064243,0.27,False,False,gini
48,ALL,S2S,6.844303526412682,<0.01,99,100,0.053776103020832515,0.4445842978065748,0.0003437383880710649,0.68,True,True,gini
49,ALL,SF2S,7.986930777580178,<0.01,99,100,0.07705760561470602,-0.552318259028147,0.5861831226283296,0.8,True,False,gini
50,ALL,SM2S,5.622905499871034,<0.01,99,100,0.05839432650977717,-0.3740069377082902,0.5787736005519527,0.56,True,False,gini
51,T2*,S2*,1.604593292737549,0.11,99,100,0.028002279365027388,2.016859886047736,3.83697895982205e-08,0.16,False,True,gini
52,T2*,S2T,0.7989962432353287,0.43,99,100,0.014778849584791965,1.5934821109010677,8.656430969506533e-08,0.08,False,True,gini
53,T2*,SF2T,1.5077727968400674,0.13,99,100,0.028199694951205414,1.0173862072693503,2.1600663945564724e-06,0.15,False,True,gini
54,T2*,SM2T,1.6501044200074608,0.1,99,100,0.03199868264774208,0.6998923833246429,0.00038767253770047706,0.17,False,True,gini
55,T2*,S2S,3.3639143847582473,<0.01,99,100,0.05742784538313332,1.3964069509811567,6.5196263224900846e-06,0.34,False,True,gini
56,T2*,SF2S,4.583804180689306,<0.01,99,100,0.08070934797700684,0.6277226627853825,0.0010180253400608986,0.46,True,True,gini
57,T2*,SM2S,3.398050144955483,<0.01,99,100,0.06204606887207796,0.6234716088496373,0.0008958580029246395,0.34,False,True,gini
58,S2*,T2T,-1.1621489162910048,0.25,99,100,-0.020175688118673478,1.8408383182296504,4.322095373256859e-07,-0.12,False,True,gini
59,S2*,T2S,-0.30659957620367384,0.76,99,100,-0.005832425044549949,1.3665703114280978,8.590315427935137e-06,-0.03,False,True,gini
60,*2T,*2S,4.217504400451898,<0.01,99,100,0.03107223029273908,0.5489515089852235,0.1471533205575853,0.42,True,False,gini
61,*2T,T2S,1.9833556023178351,0.05,99,100,0.028940136752543148,0.8723559583319278,0.008916690980658372,0.2,False,True,gini
62,*2T,S2S,6.971397606832691,<0.01,99,100,0.06419812781519901,-0.08383638612225841,0.02950952134916892,0.7,True,True,gini
63,*2T,SF2S,8.297509905503924,<0.01,99,100,0.08747963040907253,-0.39762005508822806,0.21269503255300043,0.83,True,False,gini
