frac_removed,sgpa_order_drop,random_drop
0.0,-2.9802322376593082e-09,-2.9802322376593082e-09
0.1,0.05653415560722352,0.026528067052364334
0.2,0.10542617034912106,0.051415089730989356
0.30000000000000004,0.1325499102473259,0.06918711110949519
0.4,0.15073193407058716,0.08627695924838381
0.5,0.16642446786165238,0.10391459351068452
0.6000000000000001,0.17695853006839748,0.12058789205664681
0.7000000000000001,0.18379875320196148,0.1374889389526276
0.8,0.18882538199424745,0.15490824886957802
0.9,0.19089772403240202,0.1733988792300225
1.0,0.19192853689193726,0.19192853689193726
