frac_removed,sgpa_order_drop,random_drop
0.0,3.973642985026042e-09,3.973642985026042e-09
0.1,0.035592003266016636,0.016335520943005877
0.2,0.07047715306282042,0.03234133041472662
0.30000000000000004,0.09446498543024062,0.04788653048399895
0.4,0.11096126755078632,0.06329326272862297
0.5,0.1309076319138209,0.0789073597864499
0.6000000000000001,0.14459139188130696,0.09527179742143269
0.7000000000000001,0.15486022988955178,0.11324495614521088
0.8,0.16408027867476146,0.13199920998868492
0.9,0.1669572673241297,0.1508604440093041
1.0,0.17016354898611705,0.17016354898611705
