frac_removed,sgpa_order_drop,random_drop
0.0,3.973642985026042e-09,3.973642985026042e-09
0.1,0.034280902942021685,0.015210038721561434
0.2,0.06805303514003753,0.029972439824588706
0.30000000000000004,0.08973647971947987,0.042959562034834003
0.4,0.10826016485691072,0.056256201768678335
0.5,0.12909106761217118,0.07229581525874515
0.6000000000000001,0.1423263895511627,0.09063812737900115
0.7000000000000001,0.1526704729596774,0.10987794870374698
0.8,0.15988929410775504,0.12854610388430338
0.9,0.15620070417722068,0.1406376437346141
1.0,0.1525910367568334,0.1525910367568334
