frac_removed,sgpa_order_drop,random_drop
0.0,1.7285346985973505e-08,1.7285346985973505e-08
0.1,0.027322863817214965,0.010059437274932864
0.2,0.052926987409591675,0.020019378086498806
0.30000000000000004,0.06735955053567885,0.02903940187777792
0.4,0.08039981603622437,0.038608572116352276
0.5,0.09230322152376175,0.04871881452912378
0.6000000000000001,0.10192680859565734,0.06047025936444603
0.7000000000000001,0.1109426712989807,0.0731568484008312
0.8,0.11678409767150878,0.08633504705429078
0.9,0.11843178707361218,0.1034530307650566
1.0,0.12029745042324066,0.12029745042324066
