frac_removed,sgpa_order_drop,random_drop
0.0,7.748603820800782e-09,7.748603820800782e-09
0.1,0.05105034899711608,0.023241280376911165
0.2,0.09387481510639191,0.04412571271601176
0.30000000000000004,0.11494407624006271,0.06042372512079422
0.4,0.13386992824077606,0.077665419010889
0.5,0.14993523985147475,0.09508871545820011
0.6000000000000001,0.16169533383846282,0.11109772618498118
0.7000000000000001,0.1679084593653679,0.12687518513089135
0.8,0.17099206757545468,0.1428056183065687
0.9,0.17110769730806347,0.15700276327133175
1.0,0.17069142580032348,0.17069142580032348
