frac_removed,sgpa_order_drop,random_drop
0.0,7.748603820800782e-09,7.748603820800782e-09
0.1,0.056768806099891635,0.028515892267227182
0.2,0.10591371095180512,0.05465633721238089
0.30000000000000004,0.13183562153577802,0.07270051867536143
0.4,0.15325670814514164,0.08981762679985585
0.5,0.16643842399120332,0.10698006208595774
0.6000000000000001,0.176640652179718,0.12500718993459425
0.7000000000000001,0.18592661201953883,0.14248523674720812
0.8,0.19339078211784366,0.15900334667137683
0.9,0.19453098297119145,0.1750579169988632
1.0,0.19037573754787446,0.19037573754787446
