mode,language,yes_percentage
SF2T,en,0.16129032258064516
SF2T,es,0.12903225806451613
SF2T,fr,0.0967741935483871
SM2T,en,0.12903225806451613
SM2T,es,0.0967741935483871
SM2T,fr,0.16129032258064516
T2T,en,0.1935483870967742
T2T,es,0.0967741935483871
T2T,fr,0.06451612903225806
S2T,en,0.14516129032258066
S2T,es,0.11290322580645161
S2T,fr,0.12903225806451613
TOTAL_AVERAGE,en,0.16129032258064516
TOTAL_AVERAGE,es,0.10752688172043011
TOTAL_AVERAGE,fr,0.10752688172043011
