,"('en', 'ALL')","('en', 'T2T')","('en', 'S2T')","('en', 'SF2T')","('en', 'SM2T')","('fr', 'ALL')","('fr', 'T2T')","('fr', 'S2T')","('fr', 'SF2T')","('fr', 'SM2T')","('es', 'ALL')","('es', 'T2T')","('es', 'S2T')","('es', 'SF2T')","('es', 'SM2T')"
arguments,0.03329297189385176,0.10315091492427882,0.017635138955803552,0.05093237098957029,-0.015757715963814905,,,,,,,,,,
clausal_structure,0.06121502400296765,0.044401369706468186,0.06736931016700369,0.03852009810703879,0.09630154159327732,0.10679502906426308,0.020861161559149844,0.13103802055941816,0.1319646362989346,0.13016357597056696,-0.044780300047000454,-0.03693557668360658,-0.051308239816360575,-0.02139157485525031,-0.08056495883609852
coordination,0.020641904911292672,-0.02354830610114894,0.03550230964972301,0.07697006880175405,-0.006084508584530658,-0.049158598330721934,-0.0844494813717537,-0.039018992162423424,-0.0683392611960027,-0.008042175104539744,-0.03414823533259582,-0.021643383207859926,-0.03573449029024391,-0.04136237850792498,-0.030236443280680182
core_structure,0.14200429731426586,0.07987673451939536,0.18455348281403564,0.20670548558073096,0.16233822007831208,0.059373549971545786,0.20427459794472222,-0.02155124690948086,-0.02094934802371229,-0.02220515092502137,0.03655898124300025,0.10082123220745813,0.0022845152842990006,-0.028694437542607067,0.03257371096893557
function_words,-0.09855091890818846,-0.20897774964123078,-0.059867514710978086,-0.09284566146738775,-0.026794748781053236,-0.022112443145801495,-0.09246424846307448,0.015993939921322274,0.02018714634102214,0.011572209546728246,-0.010509788203312118,-0.05792779325472577,-0.0048554995430644884,-0.02171084280371997,0.0116237886991917
generic,-0.037242932838594096,-0.010618593579009912,-0.049610738960994945,-0.06069822103916049,-0.038491506006072616,-0.051500906769308546,-0.07304465698165687,-0.032541098205905526,-0.08311906677928838,0.020922440088480265,0.05112650369502403,0.14699795966781226,,,
modifiers,-0.03944621896048286,0.06258511909737811,-0.07988965887516677,-0.08405919987397058,-0.0757083038571827,-0.04581391924446429,-0.046110889776122106,-0.042617609312078114,3.256434184252965e-05,-0.08775747006778775,-0.03990391895914372,-0.0022982995987374816,-0.03728461404063907,-0.015329142936510989,-0.058755712571519195
punctuation,-0.08291488825046263,-0.12194150519468673,-0.1004790508954007,-0.06560403919154552,-0.1354544616332864,-0.04120442828601408,-0.11138742470065138,-0.03383279299818513,-0.08432687551414568,0.019540989801698234,0.008370931903281998,0.032546618650039306,-0.04981123963307013,-0.028045025329481253,-0.07109886822793085
nan,-0.0006163662753257573,0.06874647829360216,-0.030811005743140055,-0.09478893996576322,0.033350666441678944,0.00900032577573445,0.08394172203202466,-0.0011222705029724687,0.012573260064407054,-0.015607156267869331,0.04994468382755713,-0.031778142194921755,0.13600397651727902,0.13144719937149746,0.14047631260183557
