language,mode,corr_importance_sv
en,ALL,-0.18749548098459187
en,T2T,-0.1998035796163328
en,S2T,-0.21027148174950683
en,SF2T,-0.21353465450748804
en,SM2T,-0.20702938790976785
es,ALL,-0.01981597678065644
es,T2T,-0.08534146606099977
es,S2T,-0.01230958353107911
es,SF2T,0.008457313067195247
es,SM2T,-0.032476774343793355
fr,ALL,-0.1143871165559464
fr,T2T,-0.25642963442453015
fr,S2T,-0.042732287499717574
fr,SF2T,-0.0631992333088714
fr,SM2T,-0.021078832852036242
