,index,Mode_1,Mode_2,T_Statistic,P_Value,Degrees_of_Freedom,Sample_Size,Mean_Diff,Kurtosis_Diff,Shapiro_P,Cohens_dz,Significant_Adj,Shapiro_Significant,metric,Lang_1,Lang_2
40,40,T2T,SF2T,-4.796251450746224,<0.01,30,31,-0.09110344730077251,0.5281525933835605,0.17551418696011192,-0.86,True,False,max,fr,fr
41,41,T2T,SM2T,-4.353979851441679,<0.01,30,31,-0.07897828615480854,-0.8073323322975812,0.604411047619241,-0.78,True,False,max,fr,fr
42,42,SF2T,SM2T,-0.9295921556386308,0.36,30,31,-0.01506939338099572,0.29495428736300333,0.0713973420739672,-0.17,False,False,max,en,en
43,43,SF2T,SM2T,-0.6821994983100905,0.5,30,31,-0.010146038426506904,-0.4138632755154301,0.42900085655502257,-0.12,False,False,max,es,es
44,44,SF2T,SM2T,0.7451829363035951,0.46,30,31,0.012125161145963976,-0.19886683745187206,0.657131684106455,0.13,False,False,max,fr,fr
45,45,T2T,S2T,-0.06811698657203286,0.95,30,31,-0.0006807080259197926,-0.7632081451737815,0.07071935569089202,-0.01,False,False,entropy,en,en
46,46,T2T,SF2T,1.791984593421749,0.08,30,31,0.03153084157048624,0.5964087292333242,0.0013984180833436193,0.32,False,True,entropy,en,en
47,47,T2T,SM2T,2.7903478280092915,0.01,30,31,0.031145920144710213,-0.13184367274250297,0.34550837153426645,0.5,False,False,entropy,en,en
48,48,T2T,S2T,0.27022618625765915,0.79,30,31,0.002463887638117317,-0.7927746193584668,0.7171993472073286,0.05,False,False,entropy,es,es
49,49,T2T,SF2T,2.3514184108085687,0.03,30,31,0.03018547234485116,-0.2674910128309418,0.2149206463721505,0.42,False,False,entropy,es,es
50,50,T2T,SM2T,2.8240561783025955,0.01,30,31,0.03515099541308228,0.43438237357308696,0.30128436185467045,0.51,False,False,entropy,es,es
51,51,T2T,S2T,-0.0007413448039874269,1.0,30,31,-7.764843930061744e-06,0.12660031563365548,0.2597269106597602,-0.0,False,False,entropy,fr,fr
52,52,T2T,SF2T,2.428176851475808,0.02,30,31,0.03719536922550432,0.0779838297395048,0.7252037619177338,0.44,False,False,entropy,fr,fr
53,53,T2T,SM2T,1.814101453210646,0.08,30,31,0.02361274127008806,-0.7858824562435447,0.39525736427579805,0.33,False,False,entropy,fr,fr
54,54,SF2T,SM2T,-0.02437700966693705,0.98,30,31,-0.00038492142577602775,2.4966617096263226,0.013221926556683894,-0.0,False,True,entropy,en,en
55,55,SF2T,SM2T,0.3721074288573553,0.71,30,31,0.004965523068231127,0.008210343487457195,0.5200576385496452,0.07,False,False,entropy,es,es
56,56,SF2T,SM2T,-0.9455074173000394,0.35,30,31,-0.013582627955416269,-0.17463077753482192,0.7383992915492746,-0.17,False,False,entropy,fr,fr
