mode,language,importance,mean,gini,top_20_mass,max,entropy
TOTAL_AVERAGE,fr,2.0,0.10426067521925582,0.40977256209303653,0.46888467789879174,0.4298095405101776,0.9339161843843211
TOTAL_AVERAGE,fr,1.0,0.08740947143309177,0.4586486266940705,0.47287266520490673,0.4075641632080078,0.927787327712795
TOTAL_AVERAGE,fr,5.0,0.0744575781340685,0.466393925259548,0.493682231533779,0.42059624195098877,0.9368144743553937
TOTAL_AVERAGE,fr,4.0,0.06917069995568702,0.437258330148284,0.46095126875901304,0.39755019545555115,0.9389908100593366
TOTAL_AVERAGE,fr,6.0,0.06566163548268378,0.44865779223592317,0.4436127039868108,0.21654079854488373,0.9088197656865621
TOTAL_AVERAGE,es,1.0,0.08463768218102496,0.43425362062611533,0.46506387899874024,0.37277865409851074,0.9350120242902336
TOTAL_AVERAGE,es,6.0,0.08051191699718509,0.44445728864029455,0.464051273925083,0.42968738079071045,0.9223344820753876
TOTAL_AVERAGE,es,5.0,0.07668833050868323,0.4357086974282304,0.461235905614859,0.36307787895202637,0.9452519764161177
TOTAL_AVERAGE,es,4.0,0.07384306916169658,0.4466869405538648,0.47134055619258597,0.35085055232048035,0.9372637830346733
TOTAL_AVERAGE,es,2.0,0.06517708336260901,0.47685988307865734,0.5021483080094361,0.29985854029655457,0.8980305291957972
TOTAL_AVERAGE,en,1.0,0.11036391361367665,0.41665143895946793,0.44781606417539127,0.5778305530548096,0.9405900442820797
TOTAL_AVERAGE,en,2.0,0.10928238653114176,0.3933266953555722,0.4303491196533844,0.364215612411499,0.9286669598679357
TOTAL_AVERAGE,en,3.0,0.09887477937508779,0.3961686528662816,0.44579206149626954,0.3820876479148865,0.9408618784155287
TOTAL_AVERAGE,en,4.0,0.08613206431010358,0.4061101695818036,0.42898446070256613,0.37109142541885376,0.9454316811385243
TOTAL_AVERAGE,en,5.0,0.07929101499446135,0.4288159996448037,0.4472737673759024,0.40304338932037354,0.9417828599272994
TOTAL_AVERAGE,en,6.0,0.07266658351590655,0.3511225749885247,0.38969836995568297,0.19335538148880005,0.9501945188645315
T2T,fr,1.0,0.08015930997207761,0.42516864530103393,0.46212207677453554,0.33525872230529785,0.9288419380765907
T2T,fr,2.0,0.0605083450791426,0.37823073954186986,0.42126275478509134,0.1587473750114441,0.9257568844767209
T2T,fr,4.0,0.04965195283533402,0.40626658915493014,0.4329410403954227,0.15306834876537323,0.9403755676494181
T2T,fr,5.0,0.04945735229468123,0.4251577268670883,0.4675196207717283,0.2500423192977905,0.9410727605674974
T2T,fr,6.0,0.031734338368881836,0.48792464004772007,0.49735132404450305,0.07794731855392456,0.8340284585784236
T2T,es,1.0,0.06946435014912355,0.37783014467440446,0.4293852810597034,0.30790868401527405,0.9409212192976248
T2T,es,6.0,0.06486371625214815,0.4522775320598855,0.4620749513779403,0.16899655759334564,0.8846515386070108
T2T,es,4.0,0.06010796137141789,0.4176591836188199,0.44677418422958226,0.2703133523464203,0.9394534825893542
T2T,es,5.0,0.05343328821837498,0.39545197526440384,0.4388638370091016,0.20624226331710815,0.9467357690062249
T2T,es,2.0,0.05064046649316039,0.452831417434535,0.5179702085918,0.16045159101486206,0.8871029468886638
T2T,en,3.0,0.09500598588958382,0.3418330639591171,0.3998146138647307,0.21903157234191895,0.9501756646020216
T2T,en,2.0,0.09028953446873597,0.3293572217632548,0.4002018255666955,0.2232179194688797,0.9198760664516372
T2T,en,1.0,0.0875396752582711,0.3754098677786267,0.4028300053047304,0.23648366332054138,0.9430359638437539
T2T,en,4.0,0.08630210938344648,0.35219265138919953,0.42097536036263045,0.2852746248245239,0.9523026354633604
T2T,en,5.0,0.05850296763004735,0.4411944201433043,0.44520280197032575,0.17182135581970215,0.9247596592314518
T2T,en,6.0,0.04497343259863555,0.4742630928262749,0.4404297291380073,0.11009743064641953,0.8466741258949451
SM2T,fr,2.0,0.12899588027762043,0.3930760430202052,0.46763579921269566,0.4298095405101776,0.9210104229699206
SM2T,fr,6.0,0.10196401742532064,0.3180875624711526,0.37597395669641126,0.21654079854488373,0.9403910908161732
SM2T,fr,5.0,0.09739680291552628,0.41604872184534325,0.4431519320314652,0.40552887320518494,0.930708697688224
SM2T,fr,1.0,0.09226032983445163,0.4743106715566721,0.4896179637104917,0.3791769742965698,0.8942281720888342
SM2T,fr,4.0,0.08357931215745898,0.3772669297040091,0.4180246891041798,0.28410041332244873,0.9384225311886605
SM2T,es,1.0,0.10167816561190601,0.45433424580948273,0.47806979196368227,0.37277865409851074,0.9062281816482481
SM2T,es,5.0,0.09614217184436577,0.4083788868411932,0.4241597659254342,0.36307787895202637,0.9354614402366588
SM2T,es,4.0,0.08562332466845551,0.4529023686533355,0.49285261186865753,0.3289158046245575,0.9119194308342439
SM2T,es,6.0,0.08073706668204604,0.4191610621203295,0.4418714430634703,0.26881423592567444,0.9131368162450918
