,index,Mode_1,Mode_2,T_Statistic,P_Value,Degrees_of_Freedom,Sample_Size,Mean_Diff,Kurtosis_Diff,Shapiro_P,Cohens_dz,Significant_Adj,Shapiro_Significant,metric,Lang_1,Lang_2
40,40,T2T,SF2T,-4.536574565230276,<0.01,118,119,-0.03503966680140931,0.9732465941494679,0.05582513858447944,-0.42,True,False,max,es,es
41,41,T2T,SM2T,-4.710974119898387,<0.01,118,119,-0.036813975937914946,1.00050333727357,0.06990801705460932,-0.43,True,False,max,es,es
42,42,T2T,S2T,-7.872043733928328,<0.01,112,113,-0.0754085736909667,0.6646251375834997,0.23655219887827947,-0.74,True,False,max,fr,fr
43,43,T2T,SF2T,-4.729531670934675,<0.01,112,113,-0.043914177677536435,1.4159379321035237,0.04438492469722044,-0.44,True,True,max,fr,fr
44,44,T2T,SM2T,-4.133997229745391,<0.01,112,113,-0.039064368076490615,1.159572968648181,0.020787847963362898,-0.39,True,True,max,fr,fr
45,45,SF2T,SM2T,0.07120829084099076,0.94,151,152,0.00044922273714052466,1.2513784515714157,0.010295022083416901,0.01,False,True,max,en,en
46,46,SF2T,SM2T,-0.1035000124685593,0.92,131,132,-0.0006859787619870269,2.352362337900785,0.0004902718893555074,-0.01,False,True,max,es,es
47,47,SF2T,SM2T,0.17518743239649356,0.86,130,131,0.001413362534389696,2.264615080283251,0.0005423244909338217,0.02,False,True,max,fr,fr
48,48,T2T,S2T,-6.062115944354151,<0.01,126,127,-0.23402225050605394,-0.6313404116091395,8.786245961558589e-08,-0.54,True,True,entropy,en,en
49,49,T2T,SF2T,2.3646902021163214,0.02,126,127,0.10815985774022625,-0.2877704557210041,1.459981175278949e-05,0.21,False,True,entropy,en,en
50,50,T2T,SM2T,2.4422658041615777,0.02,126,127,0.11252727460950979,-0.4651170242882037,8.945368816033027e-05,0.22,False,True,entropy,en,en
51,51,T2T,S2T,-3.9321872585635576,<0.01,118,119,-0.16329107558982997,0.06766642968370551,9.99997468436703e-07,-0.36,True,True,entropy,es,es
52,52,T2T,SF2T,2.0741631117381543,0.04,118,119,0.10134722869342357,-0.07293077518031321,2.573822673957912e-07,0.19,False,True,entropy,es,es
53,53,T2T,SM2T,1.5767700379313387,0.12,118,119,0.08160036691549928,-0.49382243091708666,3.5660717717428392e-06,0.14,False,True,entropy,es,es
54,54,T2T,S2T,-2.8654349092068148,<0.01,112,113,-0.11447277959614412,0.7428682945880296,1.1943194081700893e-06,-0.27,False,True,entropy,fr,fr
55,55,T2T,SF2T,5.333646014917085,<0.01,112,113,0.23977907576533997,-0.306872557732742,3.202285084679783e-06,0.5,True,True,entropy,fr,fr
56,56,T2T,SM2T,4.589308361032959,<0.01,112,113,0.20918211185908533,-0.1850910815599338,1.2105846305397917e-05,0.43,True,True,entropy,fr,fr
57,57,SF2T,SM2T,0.4216292028752844,0.67,151,152,0.01218448615790737,2.5214623821712445,1.3118672924517786e-12,0.03,False,True,entropy,en,en
58,58,SF2T,SM2T,-0.059927197738858955,0.95,131,132,-0.0025204946906779166,0.6835367688208458,4.2539052143194064e-10,-0.01,False,True,entropy,es,es
59,59,SF2T,SM2T,-0.060480279203247965,0.95,130,131,-0.00203359066580807,2.7987594949715078,6.669850777585309e-14,-0.01,False,True,entropy,fr,fr
