sample_id,n_segments,present_mask,coalition_size,util_emb,util_tfidf
1,4,15,4,1.0,1.0
1,4,0,0,0.8842418193817139,0.5
1,4,1,1,0.8284509181976318,0.3535533905932738
1,4,2,1,0.947909414768219,0.7071067811865476
1,4,4,1,0.8770792484283447,0.7071067811865476
1,4,8,1,0.8544652462005615,0.3535533905932738
1,4,3,2,0.947909414768219,0.7071067811865476
1,4,5,2,0.8822055459022522,0.5
1,4,9,2,0.8617045879364014,0.3535533905932738
1,4,6,2,0.9676175713539124,1.0
1,4,10,2,0.947909414768219,0.7071067811865476
1,4,12,2,0.8770792484283447,0.7071067811865476
1,4,7,3,0.9676175713539124,1.0
1,4,11,3,0.9421637058258057,0.7071067811865476
1,4,13,3,0.8762205839157104,0.75
1,4,14,3,1.0,1.0
6,4,15,4,1.0,1.0
6,4,0,0,0.7464962601661682,0.0
6,4,1,1,0.8008226156234741,0.0
6,4,2,1,0.7556586861610413,0.0
6,4,4,1,0.8103866577148438,0.3535533905932738
6,4,8,1,0.924199640750885,0.5
6,4,3,2,0.7556586861610413,0.0
6,4,5,2,0.8593285083770752,0.5
6,4,9,2,0.904686689376831,0.2886751345948129
6,4,6,2,0.9690667986869812,0.8660254037844388
6,4,10,2,0.8999274373054504,0.25
6,4,12,2,0.9669859409332275,0.7071067811865476
6,4,7,3,0.8998638987541199,0.8660254037844388
6,4,11,3,0.8999274373054504,0.25
6,4,13,3,0.9669859409332275,0.7071067811865476
6,4,14,3,0.9690667986869812,0.8660254037844388
11,4,15,4,1.0,1.0
11,4,0,0,0.7846636176109314,0.0
11,4,1,1,0.9540423154830933,0.7071067811865476
11,4,2,1,0.8563563823699951,0.5
11,4,4,1,0.7839059829711914,0.5
11,4,8,1,0.7663394212722778,0.0
11,4,3,2,0.9540423154830933,0.7071067811865476
11,4,5,2,0.9528837203979492,0.75
11,4,9,2,0.9805770516395569,0.8660254037844388
11,4,6,2,0.8548193573951721,0.5773502691896258
11,4,10,2,0.9038290977478027,0.7071067811865476
11,4,12,2,0.9001684784889221,0.8660254037844388
11,4,7,3,0.9585103988647461,0.8660254037844388
11,4,11,3,0.9805770516395569,0.8660254037844388
11,4,13,3,0.9782302379608154,1.0
11,4,14,3,0.9001684784889221,0.8660254037844388
26,4,15,4,1.0,1.0
26,4,0,0,0.8192545771598816,0.2886751345948129
26,4,1,1,0.8325343132019043,0.5773502691896258
26,4,2,1,0.8325343132019043,0.5773502691896258
26,4,4,1,0.9165353775024414,0.5773502691896258
26,4,8,1,1.0,1.0
26,4,3,2,0.8325343132019043,0.5773502691896258
26,4,5,2,0.9340973496437073,0.75
26,4,9,2,0.9674105048179626,0.75
26,4,6,2,0.9340973496437073,0.75
26,4,10,2,0.8622428774833679,0.75
26,4,12,2,0.9875304102897644,0.8660254037844388
26,4,7,3,0.9340973496437073,0.75
26,4,11,3,0.8594751954078674,0.75
26,4,13,3,1.0,1.0
26,4,14,3,1.0,1.0
32,4,15,4,1.0,1.0
32,4,0,0,0.9197930097579956,0.75
32,4,1,1,0.9197930097579956,0.75
32,4,2,1,0.9195610284805298,0.7071067811865476
32,4,4,1,0.9087314605712891,0.75
32,4,8,1,1.0,1.0
32,4,3,2,0.9195610284805298,0.7071067811865476
32,4,5,2,0.9087314605712891,0.75
32,4,9,2,1.0,1.0
32,4,6,2,0.9087314605712891,0.75
32,4,10,2,1.0,1.0
32,4,12,2,1.0,1.0
32,4,7,3,0.9198997020721436,0.75
32,4,11,3,1.0,1.0
32,4,13,3,1.0,1.0
32,4,14,3,1.0,1.0
33,4,15,4,0.9999999403953552,1.0
33,4,0,0,0.7962281703948975,0.5
33,4,1,1,0.7843605279922485,0.447213595499958
33,4,2,1,0.8558111190795898,0.7071067811865476
33,4,4,1,0.8062269687652588,0.3535533905932738
33,4,8,1,0.8994839191436768,0.8660254037844388
33,4,3,2,0.8558111190795898,0.7071067811865476
33,4,5,2,0.8442262411117554,0.670820393249937
33,4,9,2,0.8994839191436768,0.8660254037844388
33,4,6,2,0.8413327932357788,0.7071067811865476
33,4,10,2,0.8872384428977966,0.7071067811865476
33,4,12,2,0.893684446811676,0.8660254037844388
33,4,7,3,0.8442262411117554,0.670820393249937
33,4,11,3,0.8944873809814453,0.8660254037844388
33,4,13,3,0.9931383728981018,1.0
33,4,14,3,0.9001333117485046,0.8660254037844388
35,4,15,4,0.9999999403953552,1.0
35,4,0,0,0.7345273494720459,0.20412414523193154
35,4,1,1,0.8135793209075928,0.5773502691896258
35,4,2,1,0.9999999403953552,1.0
35,4,4,1,0.7850613594055176,0.5
35,4,8,1,0.8546813726425171,0.447213595499958
35,4,3,2,0.9739568829536438,0.75
35,4,5,2,0.7850613594055176,0.5
35,4,9,2,0.8966339826583862,0.75
35,4,6,2,0.9999999403953552,1.0
35,4,10,2,0.9774413108825684,0.8660254037844388
35,4,12,2,0.8546813726425171,0.447213595499958
35,4,7,3,0.9739568829536438,0.75
35,4,11,3,0.9999999403953552,1.0
35,4,13,3,0.8966339826583862,0.75
35,4,14,3,0.9774413108825684,0.8660254037844388
38,5,31,5,0.9999998807907104,1.0000000000000002
38,5,0,0,0.9999998807907104,1.0000000000000002
38,5,1,1,0.9999998807907104,1.0000000000000002
38,5,2,1,0.9999998807907104,1.0000000000000002
38,5,4,1,0.9999998807907104,1.0000000000000002
38,5,8,1,0.9999998807907104,1.0000000000000002
38,5,16,1,0.9999998807907104,1.0000000000000002
38,5,3,2,0.9999998807907104,1.0000000000000002
38,5,5,2,0.9999998807907104,1.0000000000000002
38,5,9,2,0.9999998807907104,1.0000000000000002
38,5,17,2,0.9999998807907104,1.0000000000000002
38,5,6,2,0.9999998807907104,1.0000000000000002
38,5,10,2,0.9999998807907104,1.0000000000000002
38,5,18,2,0.9999998807907104,1.0000000000000002
38,5,12,2,0.9999998807907104,1.0000000000000002
38,5,20,2,0.9999998807907104,1.0000000000000002
38,5,24,2,0.9601436257362366,0.894427190999916
38,5,7,3,0.9999998807907104,1.0000000000000002
38,5,11,3,0.9999998807907104,1.0000000000000002
38,5,19,3,0.9719252586364746,0.894427190999916
38,5,13,3,0.9999998807907104,1.0000000000000002
38,5,21,3,0.9999998807907104,1.0000000000000002
38,5,25,3,0.9601436257362366,0.894427190999916
38,5,14,3,0.9999998807907104,1.0000000000000002
38,5,22,3,0.9999998807907104,1.0000000000000002
38,5,26,3,0.9601436257362366,0.894427190999916
38,5,28,3,0.9999998807907104,1.0000000000000002
38,5,15,4,0.9999998807907104,1.0000000000000002
38,5,23,4,0.9999998807907104,1.0000000000000002
38,5,27,4,0.9601436257362366,0.894427190999916
38,5,29,4,0.9999998807907104,1.0000000000000002
38,5,30,4,0.9999998807907104,1.0000000000000002
43,5,31,5,1.0,1.0000000000000002
43,5,0,0,0.7365654706954956,0.0
43,5,1,1,0.8021341562271118,0.4000000000000001
43,5,2,1,0.7757043838500977,0.2581988897471612
43,5,4,1,0.8161033391952515,0.447213595499958
43,5,8,1,0.8091174364089966,0.316227766016838
43,5,16,1,0.743516206741333,0.0
43,5,3,2,0.8478098511695862,0.8000000000000002
43,5,5,2,0.8478098511695862,0.8000000000000002
43,5,9,2,0.8196306228637695,0.6000000000000001
43,5,17,2,0.9773516654968262,0.8000000000000002
43,5,6,2,0.8503664135932922,0.670820393249937
43,5,10,2,0.8503664135932922,0.670820393249937
43,5,18,2,0.9845811724662781,0.894427190999916
43,5,12,2,0.8304846286773682,0.447213595499958
43,5,20,2,0.9041053652763367,0.447213595499958
43,5,24,2,0.9448625445365906,0.632455532033676
43,5,7,3,0.8478098511695862,0.8000000000000002
43,5,11,3,0.8478098511695862,0.8000000000000002
43,5,19,3,1.0,1.0000000000000002
43,5,13,3,0.8196306228637695,0.6000000000000001
43,5,21,3,1.0,1.0000000000000002
43,5,25,3,0.9625509977340698,0.7745966692414836
43,5,14,3,0.8503664135932922,0.670820393249937
43,5,22,3,0.9845811724662781,0.894427190999916
43,5,26,3,0.9845811724662781,0.894427190999916
43,5,28,3,0.9041053652763367,0.447213595499958
43,5,15,4,0.8478098511695862,0.8000000000000002
43,5,23,4,1.0,1.0000000000000002
43,5,27,4,1.0,1.0000000000000002
43,5,29,4,1.0,1.0000000000000002
43,5,30,4,0.9845811724662781,0.894427190999916
44,5,31,5,0.9999998211860657,1.0000000000000004
44,5,0,0,0.9007889032363892,0.566946709513841
44,5,1,1,0.9007889032363892,0.566946709513841
44,5,2,1,0.9434421062469482,0.8017837257372733
44,5,4,1,0.9007889032363892,0.566946709513841
44,5,8,1,0.9007889032363892,0.566946709513841
44,5,16,1,0.973892092704773,0.8728715609439698
44,5,3,2,0.9434421062469482,0.8017837257372733
44,5,5,2,0.9007889032363892,0.566946709513841
44,5,9,2,0.9007889032363892,0.566946709513841
44,5,17,2,0.970313310623169,0.8451542547285168
44,5,6,2,0.9377321600914001,0.8017837257372734
44,5,10,2,0.9339107871055603,0.6761234037828134
44,5,18,2,0.9943767786026001,0.9449111825230683
44,5,12,2,0.9007889032363892,0.566946709513841
44,5,20,2,0.973892092704773,0.8728715609439698
44,5,24,2,0.973892092704773,0.8728715609439698
44,5,7,3,0.9434421062469482,0.8017837257372733
44,5,11,3,0.9339107871055603,0.6761234037828134
44,5,19,3,0.9943767786026001,0.9449111825230683
44,5,13,3,0.9007889032363892,0.566946709513841
44,5,21,3,0.973892092704773,0.8728715609439698
44,5,25,3,0.970313310623169,0.8451542547285168
44,5,14,3,0.9377321600914001,0.8017837257372734
44,5,22,3,0.9999998211860657,1.0000000000000004
44,5,26,3,0.9943767786026001,0.9449111825230683
44,5,28,3,0.973892092704773,0.8728715609439698
44,5,15,4,0.9377321600914001,0.8017837257372734
44,5,23,4,0.9999998211860657,1.0000000000000004
44,5,27,4,0.9943767786026001,0.9449111825230683
44,5,29,4,0.973892092704773,0.8728715609439698
44,5,30,4,0.9999998211860657,1.0000000000000004
60,4,15,4,1.0,1.0
60,4,0,0,0.7804310321807861,0.0
60,4,1,1,0.954669713973999,0.8660254037844388
